lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
13.5033,43.5942,290.01,289.74,1023,76,Clear,3,Clear,290.01
13.5033,43.5942,290.01,289.74,1023,76,Clear,4,Clear,290.01
13.5033,43.5942,290.01,289.74,1023,76,Clear,5,Clear,290.01
13.5033,43.5942,290.01,289.74,1023,76,Clear,6,Clear,290.01
13.5033,43.5942,291.5,291.19,1023,69,Clear,7,Clear,290.01
13.5033,43.5942,292.64,292.34,1023,65,Clear,8,Clear,290.01
13.5033,43.5942,293.24,292.98,1023,64,Clear,9,Clear,290.01
13.5033,43.5942,293.72,293.48,1023,63,Clear,10,Clear,291.5
13.5033,43.5942,293.71,293.44,1023,62,Clear,11,Clear,292.64
13.5033,43.5942,293.27,292.9,1023,60,Clear,12,Clear,293.24
13.5033,43.5942,293.1,292.64,1022,57,Clear,13,Clear,293.72
13.5033,43.5942,292.87,292.36,1022,56,Clear,14,Clear,293.71
13.5033,43.5942,292.53,291.99,1021,56,Clear,15,Clear,293.27
13.5033,43.5942,291.97,291.42,1021,58,Clear,16,Clear,293.1
13.5033,43.5942,291.31,290.46,1020,49,Clear,17,Clear,292.87
13.5033,43.5942,290.3,289.43,1020,52,Clear,18,Clear,292.53
13.5033,43.5942,289.68,288.82,1020,55,Clear,19,Clear,291.97
13.5033,43.5942,288.92,287.99,1020,55,Clear,20,Clear,291.31
13.5033,43.5942,288.16,287.26,1020,59,Clear,21,Clear,290.3
13.5033,43.5942,287.68,286.7,1020,58,Clear,22,Clear,289.68
13.5033,43.5942,287.38,286.43,1020,60,Clear,23,Clear,288.92
13.5033,43.5942,287.01,286.04,1019,61,Clear,0,Clear,288.16
13.5033,43.5942,286.81,285.85,1019,62,Clear,1,Clear,287.68
13.5033,43.5942,286.68,285.71,1019,62,Clear,2,Clear,287.38
13.5033,43.5942,286.72,285.46,1017,51,Clear,3,Clear,287.01
13.5033,43.5942,286.52,285.24,1017,51,Clear,4,Clear,286.81
13.5033,43.5942,286.08,285.07,1018,63,Clouds,5,Clear,286.68
13.5033,43.5942,285.94,285.73,1019,94,Clouds,6,Clear,286.72
13.5033,43.5942,288.71,288.44,1021,81,Clouds,7,Clear,286.52
13.5033,43.5942,291.38,291.22,1021,75,Clouds,8,Clouds,286.08
13.5033,43.5942,293.91,293.76,1021,66,Clouds,9,Clouds,285.94
13.5033,43.5942,294.78,294.72,1021,66,Clouds,10,Clouds,288.71
13.5033,43.5942,295.21,295.19,1021,66,Clouds,11,Clouds,291.38
13.5033,43.5942,295.89,295.42,1018,46,Clouds,12,Clouds,293.91
13.5033,43.5942,296.12,295.7,1018,47,Clouds,13,Clouds,294.78
13.5033,43.5942,295.16,294.36,1016,36,Clouds,14,Clouds,295.21
13.5033,43.5942,295.0,294.49,1018,48,Clouds,15,Clouds,295.89
13.5033,43.5942,293.97,293.1,1016,38,Clouds,16,Clouds,296.12
13.5033,43.5942,293.16,292.63,1018,54,Clouds,17,Clouds,295.16
13.5033,43.5942,292.57,292.0,1018,55,Clouds,18,Clouds,295.0
13.5033,43.5942,291.96,291.36,1018,56,Clouds,19,Clouds,293.97
13.5033,43.5942,291.64,291.09,1018,59,Clouds,20,Clouds,293.16
13.5033,43.5942,291.05,290.49,1018,61,Clear,21,Clouds,292.57
13.5033,43.5942,290.65,290.1,1018,63,Clear,22,Clouds,291.96
13.5033,43.5942,290.61,290.03,1017,62,Clear,23,Clouds,291.64
13.5033,43.5942,290.11,289.53,1017,64,Clear,0,Clear,291.05
13.5033,43.5942,289.77,289.16,1017,64,Clear,1,Clear,290.65
13.5033,43.5942,289.58,288.95,1017,64,Clear,2,Clear,290.61
