lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
7.3172,45.7376,286.3,285.86,1025,84,Clouds,3,Clouds,286.3
7.3172,45.7376,286.3,285.86,1025,84,Clouds,4,Clouds,286.3
7.3172,45.7376,286.3,285.86,1025,84,Clouds,5,Clouds,286.3
7.3172,45.7376,286.3,285.86,1025,84,Clouds,6,Clouds,286.3
7.3172,45.7376,287.47,286.97,1025,77,Clouds,7,Clouds,286.3
7.3172,45.7376,288.63,288.09,1025,71,Clouds,8,Clouds,286.3
7.3172,45.7376,289.96,289.39,1024,65,Clouds,9,Clouds,286.3
7.3172,45.7376,291.27,290.73,1023,61,Clouds,10,Clouds,287.47
7.3172,45.7376,292.16,291.63,1022,58,Clouds,11,Clouds,288.63
7.3172,45.7376,292.79,292.27,1021,56,Clouds,12,Clouds,289.96
7.3172,45.7376,293.1,292.59,1021,55,Clouds,13,Clouds,291.27
7.3172,45.7376,293.39,292.91,1020,55,Clouds,14,Clouds,292.16
7.3172,45.7376,292.87,292.41,1020,58,Clouds,15,Clouds,292.79
7.3172,45.7376,291.55,291.2,1020,67,Clouds,16,Clouds,293.1
7.3172,45.7376,288.32,287.8,1015,73,Clouds,17,Clouds,293.39
7.3172,45.7376,288.09,287.73,1027,80,Clouds,18,Clouds,292.87
7.3172,45.7376,288.23,287.93,1027,82,Clouds,19,Clouds,291.55
7.3172,45.7376,288.11,287.85,1027,84,Clouds,20,Clouds,288.32
7.3172,45.7376,287.81,287.55,1027,85,Clouds,21,Clouds,288.09
7.3172,45.7376,287.79,287.53,1027,85,Clouds,22,Clouds,288.23
7.3172,45.7376,287.77,287.53,1026,86,Clouds,23,Clouds,288.11
7.3172,45.7376,287.5,287.26,1026,87,Clouds,0,Clouds,287.81
7.3172,45.7376,287.48,287.27,1026,88,Clouds,1,Clouds,287.79
7.3172,45.7376,287.36,287.19,1025,90,Clouds,2,Clouds,287.77
7.3172,45.7376,287.11,286.91,1025,90,Clouds,3,Clouds,287.5
7.3172,45.7376,286.96,286.77,1025,91,Clouds,4,Clouds,287.48
7.3172,45.7376,286.81,286.61,1024,91,Clouds,5,Clouds,287.36
7.3172,45.7376,286.98,286.82,1025,92,Clouds,6,Clouds,287.11
7.3172,45.7376,287.01,286.85,1025,92,Clouds,7,Clouds,286.96
7.3172,45.7376,287.68,287.56,1024,91,Clouds,8,Clouds,286.81
7.3172,45.7376,288.87,288.72,1024,85,Clouds,9,Clouds,286.98
7.3172,45.7376,290.6,290.31,1023,73,Clouds,10,Clouds,287.01
7.3172,45.7376,291.92,291.58,1022,66,Clouds,11,Clouds,287.68
7.3172,45.7376,292.46,292.14,1021,65,Clouds,12,Clouds,288.87
7.3172,45.7376,292.49,292.15,1020,64,Fog,13,Clouds,290.6
7.3172,45.7376,291.73,291.31,1020,64,Clouds,14,Clouds,291.92
7.3172,45.7376,290.94,290.52,1020,67,Clouds,15,Clouds,292.46
7.3172,45.7376,290.63,290.21,1020,68,Clouds,16,Fog,292.49
7.3172,45.7376,289.82,289.4,1020,71,Clouds,17,Clouds,291.73
7.3172,45.7376,289.09,288.75,1023,77,Clouds,18,Clouds,290.94
7.3172,45.7376,288.73,288.41,1023,79,Clouds,19,Clouds,290.63
7.3172,45.7376,288.39,288.06,1023,80,Rain,20,Clouds,289.82
7.3172,45.7376,287.99,287.67,1023,82,Clouds,21,Clouds,289.09
7.3172,45.7376,288.08,287.8,1023,83,Clouds,22,Clouds,288.73
7.3172,45.7376,287.89,287.56,1022,82,Rain,23,Rain,288.39
7.3172,45.7376,287.89,287.53,1022,81,Clouds,0,Clouds,287.99
7.3172,45.7376,287.89,287.53,1022,81,Rain,1,Clouds,288.08
7.3172,45.7376,287.67,287.29,1021,81,Rain,2,Rain,287.89
7.3172,45.7376,287.61,287.23,1021,81,Rain,3,Clouds,287.89
7.3172,45.7376,287.55,287.19,1021,82,Rain,4,Rain,287.89
7.3172,45.7376,287.35,286.99,1019,83,Clouds,5,Rain,287.67
7.3172,45.7376,287.32,286.96,1019,83,Clouds,6,Rain,287.61
7.3172,45.7376,287.8,287.46,1020,82,Clouds,7,Rain,287.55
7.3172,45.7376,288.31,287.97,1020,80,Clouds,8,Clouds,287.35
7.3172,45.7376,288.86,288.58,1020,80,Clouds,9,Clouds,287.32
7.3172,45.7376,288.64,288.28,1020,78,Clouds,10,Clouds,287.8
7.3172,45.7376,288.81,288.47,1020,78,Clouds,11,Clouds,288.31
7.3172,45.7376,288.97,288.67,1019,79,Clouds,12,Clouds,288.86
7.3172,45.7376,289.04,288.75,1019,79,Clouds,13,Clouds,288.64
7.3172,45.7376,289.03,288.74,1019,79,Clouds,14,Clouds,288.81
7.3172,45.7376,289.13,288.79,1019,77,Clouds,15,Clouds,288.97
7.3172,45.7376,288.87,288.53,1018,78,Rain,16,Clouds,289.04
7.3172,45.7376,288.44,288.11,1019,80,Rain,17,Clouds,289.03
7.3172,45.7376,288.11,287.85,1021,84,Rain,18,Clouds,289.13
7.3172,45.7376,287.9,287.65,1021,85,Rain,19,Rain,288.87
7.3172,45.7376,287.64,287.42,1021,87,Rain,20,Rain,288.44
7.3172,45.7376,287.6,287.4,1022,88,Rain,21,Rain,288.11
7.3172,45.7376,287.59,287.44,1021,90,Rain,22,Rain,287.9
7.3172,45.7376,287.68,287.54,1021,90,Rain,23,Rain,287.64
7.3172,45.7376,287.83,287.68,1021,89,Rain,0,Rain,287.6
7.3172,45.7376,288.02,287.83,1021,87,Rain,1,Rain,287.59
7.3172,45.7376,288.14,287.91,1021,85,Rain,2,Rain,287.68
7.3172,45.7376,288.09,287.83,1021,84,Rain,3,Rain,287.83
7.3172,45.7376,287.94,287.69,1021,85,Rain,4,Rain,288.02
7.3172,45.7376,287.58,287.35,1019,87,Rain,5,Rain,288.14
7.3172,45.7376,287.4,287.2,1019,89,Rain,6,Rain,288.09
7.3172,45.7376,287.61,287.44,1020,89,Rain,7,Rain,287.94
7.3172,45.7376,287.89,287.8,1020,91,Rain,8,Rain,287.58
7.3172,45.7376,287.97,287.86,1021,90,Rain,9,Rain,287.4
7.3172,45.7376,288.12,288.0,1021,89,Rain,10,Rain,287.61
7.3172,45.7376,288.48,288.44,1026,91,Rain,11,Rain,287.89
7.3172,45.7376,288.75,288.74,1017,91,Rain,12,Rain,287.97
7.3172,45.7376,288.65,288.63,1017,91,Rain,13,Rain,288.12
7.3172,45.7376,288.82,288.82,1013,91,Rain,14,Rain,288.48
7.3172,45.7376,288.66,288.69,1019,93,Rain,15,Rain,288.75
7.3172,45.7376,288.5,288.55,1018,94,Rain,16,Rain,288.65
7.3172,45.7376,288.12,288.13,1017,94,Rain,17,Rain,288.82
7.3172,45.7376,288.05,288.05,1017,94,Rain,18,Rain,288.66
7.3172,45.7376,288.08,288.08,1018,94,Rain,19,Rain,288.5
7.3172,45.7376,287.73,287.7,1018,94,Rain,20,Rain,288.12
7.3172,45.7376,287.45,287.39,1017,94,Rain,21,Rain,288.05
7.3172,45.7376,287.27,287.22,1017,95,Rain,22,Rain,288.08
7.3172,45.7376,287.07,287.0,1017,95,Rain,23,Rain,287.73
7.3172,45.7376,286.91,286.82,1018,95,Rain,0,Rain,287.45
7.3172,45.7376,286.61,286.47,1017,94,Rain,1,Rain,287.27
7.3172,45.7376,286.54,286.42,1017,95,Rain,2,Rain,287.07
7.3172,45.7376,286.11,285.94,1017,95,Rain,3,Rain,286.91
7.3172,45.7376,285.83,285.61,1017,94,Rain,4,Rain,286.61
7.3172,45.7376,285.7,285.52,1016,96,Rain,5,Rain,286.54
7.3172,45.7376,285.72,285.54,1016,96,Rain,6,Rain,286.11
7.3172,45.7376,285.93,285.8,1016,97,Rain,7,Rain,285.83
7.3172,45.7376,286.25,286.1,1018,95,Rain,8,Rain,285.7
7.3172,45.7376,286.68,286.57,1016,95,Rain,9,Rain,285.72
7.3172,45.7376,287.43,287.37,1016,94,Rain,10,Rain,285.93
7.3172,45.7376,288.17,288.0,1016,87,Rain,11,Rain,286.25
7.3172,45.7376,288.48,288.18,1016,81,Rain,12,Rain,286.68
7.3172,45.7376,288.58,288.35,1016,83,Clouds,13,Rain,287.43
7.3172,45.7376,288.72,288.47,1016,82,Clouds,14,Rain,288.17
7.3172,45.7376,288.68,288.51,1016,85,Clouds,15,Rain,288.48
7.3172,45.7376,288.36,288.1,1016,83,Rain,16,Clouds,288.58
7.3172,45.7376,287.68,287.46,1017,87,Rain,17,Clouds,288.72
7.3172,45.7376,286.68,286.41,1017,89,Rain,18,Clouds,288.68
7.3172,45.7376,285.72,285.28,1019,86,Rain,19,Rain,288.36
7.3172,45.7376,284.88,284.38,1019,87,Clouds,20,Rain,287.68
7.3172,45.7376,284.45,283.88,1020,86,Clouds,21,Rain,286.68
7.3172,45.7376,284.93,284.23,1020,79,Clouds,22,Rain,285.72
7.3172,45.7376,285.3,284.53,1021,75,Clouds,23,Clouds,284.88
7.3172,45.7376,285.39,284.37,1021,65,Clouds,0,Clouds,284.45
7.3172,45.7376,285.0,283.96,1021,66,Clouds,1,Clouds,284.93
7.3172,45.7376,284.43,283.18,1021,60,Clouds,2,Clouds,285.3
7.3172,45.7376,284.29,282.95,1021,57,Clouds,3,Clouds,285.39
7.3172,45.7376,284.04,282.75,1021,60,Clouds,4,Clouds,285.0
7.3172,45.7376,283.69,282.34,1019,59,Clouds,5,Clouds,284.43
7.3172,45.7376,283.04,282.03,1020,60,Clouds,6,Clouds,284.29
7.3172,45.7376,284.85,283.59,1013,58,Clouds,7,Clouds,284.04
7.3172,45.7376,285.89,284.55,1014,51,Clouds,8,Clouds,283.69
7.3172,45.7376,287.63,286.36,1014,47,Clouds,9,Clouds,283.04
7.3172,45.7376,289.17,287.69,1014,33,Clouds,10,Clouds,284.85
7.3172,45.7376,289.82,288.35,1021,31,Clouds,11,Clouds,285.89
7.3172,45.7376,289.89,288.38,1021,29,Clouds,12,Clouds,287.63
7.3172,45.7376,290.08,288.61,1021,30,Clouds,13,Clouds,289.17
7.3172,45.7376,288.22,286.62,1021,32,Clouds,14,Clouds,289.82
7.3172,45.7376,287.71,286.08,1021,33,Clouds,15,Clouds,289.89
7.3172,45.7376,286.96,285.28,1022,34,Clouds,16,Clouds,290.08
7.3172,45.7376,285.36,283.34,1018,27,Clouds,17,Clouds,288.22
7.3172,45.7376,281.25,278.99,1023,73,Clear,18,Clouds,287.71
7.3172,45.7376,282.03,279.9,1024,75,Clear,19,Clouds,286.96
7.3172,45.7376,282.88,280.88,1024,76,Clear,20,Clouds,285.36
7.3172,45.7376,281.83,279.63,1025,77,Clear,21,Clear,281.25
7.3172,45.7376,281.29,279.01,1025,76,Clear,22,Clear,282.03
7.3172,45.7376,281.11,278.84,1024,76,Clear,23,Clear,282.88
7.3172,45.7376,280.98,278.72,1024,76,Clear,0,Clear,281.83
7.3172,45.7376,280.92,278.74,1024,76,Clear,1,Clear,281.29
7.3172,45.7376,280.35,278.24,1023,76,Clear,2,Clear,281.11
7.3172,45.7376,280.09,277.96,1023,76,Clear,3,Clear,280.98
7.3172,45.7376,280.12,278.04,1023,77,Clear,4,Clear,280.92
7.3172,45.7376,278.89,276.68,1023,76,Clear,5,Clear,280.35
7.3172,45.7376,278.69,276.54,1023,75,Clear,6,Clear,280.09
7.3172,45.7376,284.41,282.74,1015,44,Clear,7,Clear,280.12
7.3172,45.7376,286.77,285.31,1015,43,Clear,8,Clear,278.89
7.3172,45.7376,289.06,287.65,1014,36,Clear,9,Clear,278.69
7.3172,45.7376,290.88,289.54,1014,32,Clear,10,Clear,284.41
7.3172,45.7376,292.37,291.05,1013,27,Clear,11,Clear,286.77
7.3172,45.7376,293.0,291.72,1013,26,Clear,12,Clear,289.06
7.3172,45.7376,293.09,291.82,1013,26,Clear,13,Clear,290.88
7.3172,45.7376,292.93,291.72,1019,29,Clear,14,Clear,292.37
7.3172,45.7376,291.86,290.7,1019,35,Clear,15,Clear,293.0
7.3172,45.7376,290.11,288.98,1020,43,Clear,16,Clear,293.09
7.3172,45.7376,285.55,284.05,1011,46,Clear,17,Clear,292.93
7.3172,45.7376,285.05,283.71,1013,54,Clear,18,Clear,291.86
7.3172,45.7376,283.9,282.75,1014,66,Clear,19,Clear,290.11
7.3172,45.7376,283.99,282.85,1025,66,Clear,20,Clear,285.55
7.3172,45.7376,283.87,282.75,1026,67,Clear,21,Clear,285.05
7.3172,45.7376,284.09,283.02,1027,68,Clear,22,Clear,283.9
7.3172,45.7376,283.36,282.26,1027,70,Clouds,23,Clear,283.99
7.3172,45.7376,282.92,282.92,1027,71,Clear,0,Clear,283.87
7.3172,45.7376,282.8,282.26,1027,73,Clouds,1,Clear,284.09
7.3172,45.7376,282.48,282.48,1027,74,Clear,2,Clouds,283.36
7.3172,45.7376,282.54,282.54,1026,74,Clear,3,Clear,282.92
7.3172,45.7376,283.59,282.62,1037,74,Clouds,4,Clouds,282.8
7.3172,45.7376,283.46,282.5,1037,75,Clouds,5,Clear,282.48
7.3172,45.7376,282.22,282.22,1030,84,Clear,6,Clear,282.54
7.3172,45.7376,284.12,283.2,1025,74,Clear,7,Clouds,283.59
7.3172,45.7376,285.91,285.15,1022,73,Clouds,8,Clouds,283.46
7.3172,45.7376,288.67,287.92,1022,63,Clouds,9,Clear,282.22
7.3172,45.7376,290.18,289.4,1021,56,Clouds,10,Clear,284.12
7.3172,45.7376,290.54,289.74,1021,54,Clouds,11,Clouds,285.91
7.3172,45.7376,291.46,290.73,1028,53,Clear,12,Clouds,288.67
7.3172,45.7376,292.22,291.49,1023,50,Clear,13,Clouds,290.18
7.3172,45.7376,292.41,291.62,1022,47,Clear,14,Clouds,290.54
7.3172,45.7376,291.31,290.57,1023,53,Clear,15,Clear,291.46
7.3172,45.7376,289.96,289.18,1023,57,Clear,16,Clear,292.22
7.3172,45.7376,287.83,287.1,1026,67,Clear,17,Clear,292.41
7.3172,45.7376,286.05,285.35,1015,75,Clear,18,Clear,291.31
7.3172,45.7376,285.55,284.83,1016,76,Clouds,19,Clear,289.96
7.3172,45.7376,285.74,285.09,1028,78,Clouds,20,Clear,287.83
7.3172,45.7376,285.82,285.18,1029,78,Clouds,21,Clear,286.05
7.3172,45.7376,285.78,285.16,1029,79,Clouds,22,Clouds,285.55
7.3172,45.7376,285.63,285.02,1029,80,Clouds,23,Clouds,285.74
7.3172,45.7376,285.76,285.17,1028,80,Clouds,0,Clouds,285.82
7.3172,45.7376,285.45,284.82,1028,80,Clouds,1,Clouds,285.78
7.3172,45.7376,285.34,284.68,1028,79,Clouds,2,Clouds,285.63
7.3172,45.7376,285.33,284.69,1028,80,Clouds,3,Clouds,285.76
7.3172,45.7376,284.79,284.15,1028,82,Clouds,4,Clouds,285.45
7.3172,45.7376,284.72,284.07,1025,82,Clouds,5,Clouds,285.34
7.3172,45.7376,284.52,283.85,1026,82,Clouds,6,Clouds,285.33
7.3172,45.7376,284.61,283.95,1026,82,Clouds,7,Clouds,284.79
7.3172,45.7376,284.99,284.34,1027,81,Clouds,8,Clouds,284.72
7.3172,45.7376,285.05,284.33,1027,78,Clouds,9,Clouds,284.52
7.3172,45.7376,285.84,285.02,1027,71,Clouds,10,Clouds,284.61
7.3172,45.7376,286.75,285.89,1027,66,Clouds,11,Clouds,284.99
7.3172,45.7376,286.93,286.06,1027,65,Clouds,12,Clouds,285.05
7.3172,45.7376,287.19,286.35,1026,65,Clouds,13,Clouds,285.84
7.3172,45.7376,287.38,286.69,1022,70,Clouds,14,Clouds,286.75
7.3172,45.7376,286.92,286.21,1025,71,Clouds,15,Clouds,286.93
7.3172,45.7376,286.31,285.56,1026,72,Clouds,16,Clouds,287.19
7.3172,45.7376,285.13,284.45,1028,79,Clouds,17,Clouds,287.38
7.3172,45.7376,284.64,283.96,1029,81,Clouds,18,Clouds,286.92
7.3172,45.7376,284.26,283.54,1029,81,Clouds,19,Clouds,286.31
7.3172,45.7376,284.19,283.49,1029,82,Clouds,20,Clouds,285.13
7.3172,45.7376,284.04,283.33,1030,82,Clouds,21,Clouds,284.64
7.3172,45.7376,283.84,283.13,1030,83,Clouds,22,Clouds,284.26
7.3172,45.7376,284.01,283.34,1030,84,Clouds,23,Clouds,284.19
7.3172,45.7376,283.83,283.17,1029,85,Clouds,0,Clouds,284.04
7.3172,45.7376,283.64,282.99,1029,86,Clouds,1,Clouds,283.84
7.3172,45.7376,283.63,282.98,1029,86,Clouds,2,Clouds,284.01
7.3172,45.7376,283.44,282.8,1028,87,Clouds,3,Clouds,283.83
7.3172,45.7376,283.17,282.53,1028,88,Clouds,4,Clouds,283.64
7.3172,45.7376,282.89,282.89,1028,83,Clouds,5,Clouds,283.63
7.3172,45.7376,282.69,282.69,1026,85,Clouds,6,Clouds,283.44
7.3172,45.7376,283.15,283.15,1026,82,Clouds,7,Clouds,283.17
