lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
13.3995,42.3505,286.18,285.86,1024,89,Clear,3,Clear,286.18
13.3995,42.3505,286.18,285.86,1024,89,Clear,4,Clear,286.18
13.3995,42.3505,286.18,285.86,1024,89,Clear,5,Clear,286.18
13.3995,42.3505,286.18,285.86,1024,89,Clear,6,Clear,286.18
13.3995,42.3505,288.84,288.48,1023,77,Clear,7,Clear,286.18
13.3995,42.3505,291.18,290.79,1023,67,Clear,8,Clear,286.18
13.3995,42.3505,293.17,292.74,1022,58,Clear,9,Clear,286.18
13.3995,42.3505,294.68,294.17,1022,49,Clear,10,Clear,288.84
13.3995,42.3505,295.95,295.41,1021,43,Clear,11,Clear,291.18
13.3995,42.3505,296.48,295.91,1020,40,Clouds,12,Clear,293.17
13.3995,42.3505,296.45,295.85,1020,39,Clouds,13,Clear,294.68
13.3995,42.3505,295.57,294.99,1020,43,Clouds,14,Clear,295.95
13.3995,42.3505,293.61,293.1,1020,53,Clouds,15,Clouds,296.48
13.3995,42.3505,291.64,291.22,1021,64,Clouds,16,Clouds,296.45
13.3995,42.3505,290.63,290.34,1023,73,Clouds,17,Clouds,295.57
13.3995,42.3505,290.01,289.74,1023,76,Clear,18,Clouds,293.61
13.3995,42.3505,289.01,288.74,1024,80,Clouds,19,Clouds,291.64
13.3995,42.3505,288.63,288.35,1024,81,Clear,20,Clouds,290.63
13.3995,42.3505,287.87,287.59,1024,84,Clear,21,Clear,290.01
13.3995,42.3505,287.05,286.74,1024,86,Clear,22,Clouds,289.01
13.3995,42.3505,286.2,285.86,1024,88,Clear,23,Clear,288.63
13.3995,42.3505,285.67,285.3,1023,89,Clear,0,Clear,287.87
13.3995,42.3505,285.48,285.09,1023,89,Clear,1,Clear,287.05
13.3995,42.3505,285.99,285.63,1022,88,Clouds,2,Clear,286.2
13.3995,42.3505,284.97,284.58,1022,91,Clouds,3,Clear,285.67
13.3995,42.3505,285.14,284.74,1022,90,Clouds,4,Clear,285.48
13.3995,42.3505,284.8,284.37,1021,90,Clouds,5,Clouds,285.99
13.3995,42.3505,285.51,285.07,1022,87,Clouds,6,Clouds,284.97
13.3995,42.3505,288.56,287.96,1020,69,Clouds,7,Clouds,285.14
13.3995,42.3505,289.52,288.81,1020,61,Clouds,8,Clouds,284.8
13.3995,42.3505,290.48,289.65,1019,53,Clouds,9,Clouds,285.51
13.3995,42.3505,292.78,292.44,1022,63,Clouds,10,Clouds,288.56
13.3995,42.3505,293.95,293.68,1021,61,Clouds,11,Clouds,289.52
13.3995,42.3505,294.27,293.87,1021,55,Clouds,12,Clouds,290.48
