lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
16.8554,41.1114,294.32,294.35,1021,71,Rain,3,Rain,294.32
16.8554,41.1114,294.32,294.35,1021,71,Rain,4,Rain,294.32
16.8554,41.1114,294.32,294.35,1021,71,Rain,5,Rain,294.32
16.8554,41.1114,294.32,294.35,1021,71,Rain,6,Rain,294.32
16.8554,41.1114,294.76,294.78,1022,69,Clear,7,Rain,294.32
16.8554,41.1114,295.35,295.32,1022,65,Clear,8,Rain,294.32
16.8554,41.1114,295.84,295.76,1022,61,Clear,9,Rain,294.32
16.8554,41.1114,296.07,296.01,1022,61,Clear,10,Clear,294.76
16.8554,41.1114,296.19,296.17,1022,62,Clear,11,Clear,295.35
16.8554,41.1114,296.12,296.09,1021,62,Clouds,12,Clear,295.84
16.8554,41.1114,295.99,295.92,1021,61,Clouds,13,Clear,296.07
16.8554,41.1114,295.85,295.77,1021,61,Clouds,14,Clear,296.19
16.8554,41.1114,295.6,295.49,1020,61,Clouds,15,Clouds,296.12
16.8554,41.1114,295.18,295.08,1020,63,Clear,16,Clouds,295.99
16.8554,41.1114,295.26,295.22,1021,65,Clear,17,Clouds,295.85
16.8554,41.1114,293.91,293.97,1020,74,Clear,18,Clouds,295.6
16.8554,41.1114,293.4,293.44,1021,75,Clouds,19,Clear,295.18
16.8554,41.1114,292.32,292.36,1021,79,Clear,20,Clear,295.26
16.8554,41.1114,291.44,291.41,1021,80,Clouds,21,Clear,293.91
16.8554,41.1114,291.16,291.11,1021,80,Clear,22,Clouds,293.4
16.8554,41.1114,290.44,290.39,1021,83,Clear,23,Clear,292.32
16.8554,41.1114,289.68,289.69,1020,88,Clear,0,Clouds,291.44
16.8554,41.1114,289.93,289.88,1021,85,Clear,1,Clear,291.16
16.8554,41.1114,288.66,288.56,1019,88,Clear,2,Clear,290.44
16.8554,41.1114,288.91,288.84,1019,88,Clouds,3,Clear,289.68
16.8554,41.1114,288.87,288.8,1019,88,Clear,4,Clear,289.93
16.8554,41.1114,288.04,287.88,1019,88,Clouds,5,Clear,288.66
16.8554,41.1114,290.42,290.42,1019,85,Clouds,6,Clouds,288.91
16.8554,41.1114,293.25,293.35,1020,78,Clear,7,Clear,288.87
16.8554,41.1114,295.31,295.38,1020,69,Clouds,8,Clouds,288.04
16.8554,41.1114,295.96,295.99,1020,65,Clouds,9,Clouds,290.42
16.8554,41.1114,296.39,296.49,1020,66,Clouds,10,Clear,293.25
16.8554,41.1114,296.63,296.73,1019,65,Clouds,11,Clouds,295.31
16.8554,41.1114,296.53,296.59,1019,64,Clear,12,Clouds,295.96
16.8554,41.1114,296.16,296.19,1019,64,Clear,13,Clouds,296.39
16.8554,41.1114,296.64,296.66,1019,62,Clear,14,Clouds,296.63
16.8554,41.1114,296.14,296.19,1019,65,Clear,15,Clear,296.53
16.8554,41.1114,295.19,295.25,1019,69,Clear,16,Clear,296.16
16.8554,41.1114,294.3,294.3,1019,70,Clear,17,Clear,296.64
16.8554,41.1114,293.6,293.55,1020,71,Clear,18,Clear,296.14
16.8554,41.1114,292.96,292.9,1020,73,Clear,19,Clear,295.19
16.8554,41.1114,292.42,292.31,1020,73,Clear,20,Clear,294.3
16.8554,41.1114,292.0,291.9,1020,75,Clear,21,Clear,293.6
