lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
11.3387,44.4938,287.31,286.95,1024,83,Clear,3,Clear,287.31
11.3387,44.4938,287.31,286.95,1024,83,Clear,4,Clear,287.31
11.3387,44.4938,287.31,286.95,1024,83,Clear,5,Clear,287.31
11.3387,44.4938,287.31,286.95,1024,83,Clear,6,Clear,287.31
11.3387,44.4938,289.32,288.9,1024,73,Clear,7,Clear,287.31
11.3387,44.4938,291.36,290.93,1024,65,Clear,8,Clear,287.31
11.3387,44.4938,292.84,292.43,1024,60,Clear,9,Clear,287.31
11.3387,44.4938,294.17,293.74,1023,54,Clear,10,Clear,289.32
11.3387,44.4938,295.3,294.88,1023,50,Clear,11,Clear,291.36
11.3387,44.4938,295.76,295.25,1022,45,Clear,12,Clear,292.84
11.3387,44.4938,296.23,295.72,1022,43,Clear,13,Clear,294.17
11.3387,44.4938,296.37,295.87,1021,43,Clear,14,Clear,295.3
11.3387,44.4938,295.94,295.42,1020,44,Clear,15,Clear,295.76
11.3387,44.4938,294.96,294.45,1020,48,Clear,16,Clear,296.23
11.3387,44.4938,292.28,292.13,1020,72,Clear,17,Clear,296.37
11.3387,44.4938,291.77,291.65,1020,75,Clear,18,Clear,295.94
11.3387,44.4938,290.57,290.46,1020,80,Clear,19,Clear,294.96
11.3387,44.4938,289.66,289.56,1020,84,Clear,20,Clear,292.28
11.3387,44.4938,289.0,288.91,1020,87,Clear,21,Clear,291.77
11.3387,44.4938,288.39,288.27,1020,88,Clear,22,Clear,290.57
11.3387,44.4938,287.91,287.79,1020,90,Clear,23,Clear,289.66
11.3387,44.4938,287.58,287.43,1020,90,Clear,0,Clear,289.0
11.3387,44.4938,286.95,286.74,1020,90,Clear,1,Clear,288.39
11.3387,44.4938,286.85,286.63,1019,90,Clear,2,Clear,287.91
11.3387,44.4938,286.65,286.43,1019,91,Clear,3,Clear,287.58
11.3387,44.4938,286.2,286.02,1019,94,Clear,4,Clear,286.95
11.3387,44.4938,286.04,285.87,1019,95,Clouds,5,Clear,286.85
11.3387,44.4938,286.08,285.91,1019,95,Clouds,6,Clear,286.65
11.3387,44.4938,287.97,287.88,1019,91,Clear,7,Clear,286.2
11.3387,44.4938,290.25,290.16,1019,82,Clear,8,Clouds,286.04
11.3387,44.4938,291.65,291.57,1019,77,Clear,9,Clouds,286.08
11.3387,44.4938,293.46,293.35,1019,69,Clear,10,Clear,287.97
11.3387,44.4938,294.65,294.5,1019,63,Clear,11,Clear,290.25
11.3387,44.4938,295.4,295.25,1018,60,Clear,12,Clear,291.65
11.3387,44.4938,295.29,295.13,1018,60,Clear,13,Clear,293.46
11.3387,44.4938,296.15,296.07,1018,60,Clear,14,Clear,294.65
11.3387,44.4938,295.63,295.58,1017,63,Clear,15,Clear,295.4
11.3387,44.4938,294.46,294.42,1018,68,Clear,16,Clear,295.29
11.3387,44.4938,293.36,293.37,1018,74,Clear,17,Clear,296.15
11.3387,44.4938,292.41,292.43,1018,78,Clear,18,Clear,295.63
11.3387,44.4938,291.31,291.32,1018,82,Clear,19,Clear,294.46
11.3387,44.4938,290.51,290.52,1018,85,Clear,20,Clear,293.36
11.3387,44.4938,289.77,289.79,1018,88,Clear,21,Clear,292.41
11.3387,44.4938,288.76,288.7,1018,89,Clear,22,Clear,291.31
11.3387,44.4938,288.65,288.63,1018,91,Clear,23,Clear,290.51
11.3387,44.4938,288.3,288.27,1018,92,Clear,0,Clear,289.77
11.3387,44.4938,287.67,287.58,1018,92,Clear,1,Clear,288.76
11.3387,44.4938,287.49,287.36,1017,91,Clear,2,Clear,288.65
11.3387,44.4938,287.3,287.2,1017,93,Clear,3,Clear,288.3
11.3387,44.4938,286.74,286.64,1017,95,Clear,4,Clear,287.67
11.3387,44.4938,286.55,286.43,1017,95,Clear,5,Clear,287.49
11.3387,44.4938,287.21,287.1,1017,93,Clear,6,Clear,287.3
11.3387,44.4938,290.35,290.35,1017,85,Clear,7,Clear,286.74
11.3387,44.4938,293.03,293.03,1017,75,Clear,8,Clear,286.55
11.3387,44.4938,294.96,295.05,1017,71,Clear,9,Clear,287.21
11.3387,44.4938,296.05,296.09,1017,65,Clouds,10,Clear,290.35
11.3387,44.4938,297.59,297.66,1017,60,Clouds,11,Clear,293.03
11.3387,44.4938,298.35,298.34,1016,54,Clouds,12,Clear,294.96
11.3387,44.4938,299.0,299.05,1016,54,Clouds,13,Clouds,296.05
11.3387,44.4938,299.25,299.25,1015,50,Clouds,14,Clouds,297.59
11.3387,44.4938,298.87,298.88,1015,53,Clouds,15,Clouds,298.35
11.3387,44.4938,297.6,297.64,1015,59,Clouds,16,Clouds,299.0
11.3387,44.4938,295.86,295.94,1016,67,Clouds,17,Clouds,299.25
11.3387,44.4938,294.33,294.41,1016,73,Clear,18,Clouds,298.87
11.3387,44.4938,293.54,293.7,1016,79,Clear,19,Clouds,297.6
11.3387,44.4938,293.61,293.8,1016,80,Clouds,20,Clouds,295.86
11.3387,44.4938,293.44,293.54,1017,77,Clouds,21,Clear,294.33
11.3387,44.4938,292.93,293.0,1017,78,Clouds,22,Clear,293.54
11.3387,44.4938,291.92,292.02,1017,83,Clear,23,Clouds,293.61
11.3387,44.4938,291.36,291.46,1017,85,Clear,0,Clouds,293.44
11.3387,44.4938,291.06,291.15,1017,86,Clear,1,Clouds,292.93
11.3387,44.4938,290.92,290.97,1016,85,Clear,2,Clear,291.92
11.3387,44.4938,290.69,290.75,1016,86,Clear,3,Clear,291.36
11.3387,44.4938,290.78,290.79,1016,84,Clear,4,Clear,291.06
11.3387,44.4938,289.46,289.52,1017,91,Clouds,5,Clear,290.92
11.3387,44.4938,291.09,291.13,1017,84,Clear,6,Clear,290.69
11.3387,44.4938,292.8,292.88,1017,79,Clear,7,Clear,290.78
11.3387,44.4938,294.73,294.88,1017,74,Clear,8,Clouds,289.46
11.3387,44.4938,296.92,297.08,1017,66,Clear,9,Clear,291.09
11.3387,44.4938,296.83,297.06,1017,69,Clouds,10,Clear,292.8
11.3387,44.4938,295.76,296.22,1018,82,Rain,11,Clear,294.73
11.3387,44.4938,295.95,296.4,1017,81,Rain,12,Clear,296.92
11.3387,44.4938,296.42,296.71,1016,73,Rain,13,Clouds,296.83
11.3387,44.4938,295.51,295.84,1016,78,Rain,14,Rain,295.76
11.3387,44.4938,295.4,295.72,1016,78,Rain,15,Rain,295.95
11.3387,44.4938,295.09,295.53,1016,84,Rain,16,Rain,296.42
11.3387,44.4938,294.23,294.67,1014,87,Rain,17,Rain,295.51
11.3387,44.4938,293.73,294.12,1014,87,Rain,18,Rain,295.4
11.3387,44.4938,293.33,293.7,1013,88,Rain,19,Rain,295.09
11.3387,44.4938,293.11,293.51,1013,90,Rain,20,Rain,294.23
11.3387,44.4938,293.07,293.44,1014,89,Rain,21,Rain,293.73
11.3387,44.4938,291.9,292.23,1013,92,Rain,22,Rain,293.33
