lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
9.1191,39.2305,291.88,291.74,1020,74,Clouds,3,Clouds,291.88
9.1191,39.2305,291.88,291.74,1020,74,Clouds,4,Clouds,291.88
9.1191,39.2305,291.88,291.74,1020,74,Clouds,5,Clouds,291.88
9.1191,39.2305,291.88,291.74,1020,74,Clouds,6,Clouds,291.88
9.1191,39.2305,293.62,293.5,1020,68,Clouds,7,Clouds,291.88
9.1191,39.2305,295.5,295.38,1020,61,Clouds,8,Clouds,291.88
9.1191,39.2305,297.02,296.9,1020,55,Clouds,9,Clouds,291.88
9.1191,39.2305,297.83,297.71,1020,52,Clouds,10,Clouds,293.62
9.1191,39.2305,298.03,297.96,1019,53,Clouds,11,Clouds,295.5
9.1191,39.2305,297.65,297.59,1019,55,Clouds,12,Clouds,297.02
9.1191,39.2305,297.31,297.32,1019,59,Clouds,13,Clouds,297.83
9.1191,39.2305,297.23,297.29,1018,61,Clouds,14,Clouds,298.03
9.1191,39.2305,296.82,296.89,1018,63,Clouds,15,Clouds,297.65
9.1191,39.2305,296.33,296.4,1018,65,Clouds,16,Clouds,297.31
9.1191,39.2305,295.37,295.48,1018,70,Clouds,17,Clouds,297.23
9.1191,39.2305,296.18,296.31,1018,68,Clouds,18,Clouds,296.82
9.1191,39.2305,296.05,296.17,1019,68,Clouds,19,Clouds,296.33
9.1191,39.2305,295.36,295.49,1019,71,Clouds,20,Clouds,295.37
9.1191,39.2305,295.06,295.26,1020,75,Clouds,21,Clouds,296.18
9.1191,39.2305,294.25,294.43,1020,77,Clouds,22,Clouds,296.05
9.1191,39.2305,292.56,292.62,1020,79,Clear,23,Clouds,295.36
9.1191,39.2305,291.73,291.71,1019,79,Clear,0,Clouds,295.06
9.1191,39.2305,291.52,291.53,1019,81,Clear,1,Clouds,294.25
9.1191,39.2305,290.47,290.42,1018,83,Clear,2,Clear,292.56
9.1191,39.2305,290.81,290.69,1017,79,Clear,3,Clear,291.73
9.1191,39.2305,290.35,290.19,1017,79,Clear,4,Clear,291.52
9.1191,39.2305,289.97,289.82,1017,81,Clear,5,Clear,290.47
9.1191,39.2305,290.04,289.85,1017,79,Clear,6,Clear,290.81
9.1191,39.2305,291.7,291.57,1018,75,Clear,7,Clear,290.35
9.1191,39.2305,293.75,293.75,1018,72,Clear,8,Clear,289.97
9.1191,39.2305,296.12,296.25,1018,68,Clear,9,Clear,290.04
9.1191,39.2305,298.17,298.29,1018,60,Clear,10,Clear,291.7
9.1191,39.2305,299.21,299.21,1018,52,Clouds,11,Clear,293.75
9.1191,39.2305,300.2,300.37,1018,46,Clouds,12,Clear,296.12
9.1191,39.2305,299.18,299.18,1017,54,Clouds,13,Clear,298.17
9.1191,39.2305,298.17,298.16,1016,55,Clouds,14,Clouds,299.21
9.1191,39.2305,298.5,298.5,1016,54,Clouds,15,Clouds,300.2
9.1191,39.2305,299.01,299.01,1016,52,Clouds,16,Clouds,299.18
9.1191,39.2305,298.09,298.02,1016,53,Clouds,17,Clouds,298.17
9.1191,39.2305,296.75,296.68,1016,58,Clouds,18,Clouds,298.5
9.1191,39.2305,296.02,296.01,1017,63,Clouds,19,Clouds,299.01
9.1191,39.2305,295.57,295.56,1017,65,Clouds,20,Clouds,298.09
9.1191,39.2305,294.6,294.6,1018,69,Clear,21,Clouds,296.75
9.1191,39.2305,293.71,293.68,1017,71,Clear,22,Clouds,296.02
9.1191,39.2305,292.98,292.9,1017,72,Clear,23,Clouds,295.57
9.1191,39.2305,292.44,292.38,1017,75,Clear,0,Clear,294.6
9.1191,39.2305,290.69,290.56,1018,79,Clear,1,Clear,293.71
9.1191,39.2305,289.87,289.84,1017,86,Clear,2,Clear,292.98
9.1191,39.2305,289.65,289.5,1017,82,Clear,3,Clear,292.44
9.1191,39.2305,288.83,288.65,1017,84,Clear,4,Clear,290.69
9.1191,39.2305,288.83,288.59,1017,82,Clouds,5,Clear,289.87
9.1191,39.2305,288.87,288.59,1017,80,Clouds,6,Clear,289.65
9.1191,39.2305,290.48,290.41,1016,82,Clear,7,Clear,288.83
9.1191,39.2305,294.35,294.43,1016,73,Clouds,8,Clouds,288.83
9.1191,39.2305,297.34,297.51,1018,65,Clouds,9,Clouds,288.87
9.1191,39.2305,298.42,298.54,1017,59,Clear,10,Clear,290.48
9.1191,39.2305,298.89,299.01,1017,57,Clear,11,Clouds,294.35
9.1191,39.2305,298.98,299.19,1016,60,Clear,12,Clouds,297.34
9.1191,39.2305,298.98,299.32,1015,65,Clouds,13,Clear,298.42
9.1191,39.2305,298.65,299.01,1015,67,Clouds,14,Clear,298.89
9.1191,39.2305,298.65,299.06,1015,69,Clouds,15,Clear,298.98
9.1191,39.2305,298.25,298.67,1015,71,Clouds,16,Clouds,298.98
9.1191,39.2305,297.98,298.4,1015,72,Clouds,17,Clouds,298.65
9.1191,39.2305,297.15,297.64,1016,78,Clouds,18,Clouds,298.65
9.1191,39.2305,296.97,297.55,1016,82,Clouds,19,Clouds,298.25
9.1191,39.2305,296.76,297.34,1016,83,Clouds,20,Clouds,297.98
9.1191,39.2305,297.15,297.75,1016,82,Clouds,21,Clouds,297.15
9.1191,39.2305,297.57,298.16,1016,80,Clouds,22,Clouds,296.97
9.1191,39.2305,297.57,298.13,1016,79,Clouds,23,Clouds,296.76
9.1191,39.2305,297.57,298.21,1016,82,Clouds,0,Clouds,297.15
9.1191,39.2305,297.57,298.21,1016,82,Clouds,1,Clouds,297.57
9.1191,39.2305,297.57,298.21,1015,82,Clouds,2,Clouds,297.57
9.1191,39.2305,297.15,297.8,1015,84,Clouds,3,Clouds,297.57
9.1191,39.2305,297.15,297.8,1015,84,Clouds,4,Clouds,297.57
9.1191,39.2305,297.15,297.83,1015,85,Clouds,5,Clouds,297.57
9.1191,39.2305,297.15,297.77,1015,83,Clouds,6,Clouds,297.15
9.1191,39.2305,297.81,298.34,1015,77,Clouds,7,Clouds,297.15
9.1191,39.2305,298.67,299.24,1015,75,Clouds,8,Clouds,297.15
9.1191,39.2305,299.64,299.64,1015,73,Clouds,9,Clouds,297.15
9.1191,39.2305,300.36,302.37,1015,70,Clouds,10,Clouds,297.81
9.1191,39.2305,300.81,302.95,1015,68,Clouds,11,Clouds,298.67
9.1191,39.2305,301.03,303.22,1014,67,Clear,12,Clouds,299.64
9.1191,39.2305,301.15,303.3,1014,66,Clear,13,Clouds,300.36
9.1191,39.2305,301.66,303.51,1014,61,Clouds,14,Clouds,300.81
9.1191,39.2305,301.52,302.34,1014,53,Clear,15,Clear,301.03
9.1191,39.2305,300.46,301.63,1016,60,Clear,16,Clear,301.15
9.1191,39.2305,299.2,299.2,1016,66,Clear,17,Clouds,301.66
9.1191,39.2305,297.35,297.76,1017,74,Clear,18,Clear,301.52
9.1191,39.2305,296.52,296.84,1018,74,Clear,19,Clear,300.46
9.1191,39.2305,295.3,295.53,1019,75,Clear,20,Clear,299.2
9.1191,39.2305,294.89,295.03,1019,73,Clear,21,Clear,297.35
9.1191,39.2305,293.83,293.96,1019,77,Clear,22,Clear,296.52
9.1191,39.2305,293.42,293.57,1020,79,Clear,23,Clear,295.3
9.1191,39.2305,292.78,292.86,1020,79,Clear,0,Clear,294.89
9.1191,39.2305,292.78,292.81,1019,77,Clear,1,Clear,293.83
9.1191,39.2305,292.34,292.35,1019,78,Clear,2,Clear,293.42
9.1191,39.2305,292.34,292.4,1019,80,Clear,3,Clear,292.78
9.1191,39.2305,292.34,292.46,1019,82,Clear,4,Clear,292.78
9.1191,39.2305,291.52,291.61,1020,84,Clouds,5,Clear,292.34
9.1191,39.2305,291.37,291.44,1020,84,Clouds,6,Clear,292.34
9.1191,39.2305,291.79,291.77,1020,79,Clear,7,Clear,292.34
9.1191,39.2305,293.43,293.39,1020,72,Clear,8,Clouds,291.52
9.1191,39.2305,295.71,295.64,1020,62,Clear,9,Clouds,291.37
9.1191,39.2305,296.97,296.9,1020,57,Clouds,10,Clear,291.79
9.1191,39.2305,298.4,298.31,1020,51,Clouds,11,Clear,293.43
9.1191,39.2305,299.27,299.27,1019,45,Clouds,12,Clear,295.71
9.1191,39.2305,300.3,300.23,1019,42,Clouds,13,Clouds,296.97
9.1191,39.2305,300.27,300.32,1018,44,Clouds,14,Clouds,298.4
9.1191,39.2305,299.52,299.52,1018,38,Clouds,15,Clouds,299.27
9.1191,39.2305,298.6,298.19,1018,38,Clouds,16,Clouds,300.3
9.1191,39.2305,297.24,296.78,1018,41,Clear,17,Clouds,300.27
9.1191,39.2305,295.19,294.78,1019,51,Clear,18,Clouds,299.52
9.1191,39.2305,293.85,293.52,1019,59,Clear,19,Clouds,298.6
9.1191,39.2305,292.81,292.58,1021,67,Clear,20,Clear,297.24
9.1191,39.2305,292.53,292.22,1020,65,Clear,21,Clear,295.19
9.1191,39.2305,291.79,291.43,1020,66,Clear,22,Clear,293.85
9.1191,39.2305,291.33,290.98,1020,68,Clear,23,Clear,292.81
9.1191,39.2305,290.33,289.96,1020,71,Clear,0,Clear,292.53
9.1191,39.2305,289.96,289.6,1020,73,Clear,1,Clear,291.79
9.1191,39.2305,289.78,289.43,1019,74,Clear,2,Clear,291.33
9.1191,39.2305,289.38,288.96,1019,73,Clear,3,Clear,290.33
9.1191,39.2305,287.61,287.23,1020,81,Clear,4,Clear,289.96
9.1191,39.2305,287.19,286.79,1020,82,Clear,5,Clear,289.78
9.1191,39.2305,287.26,286.92,1020,84,Clear,6,Clear,289.38
9.1191,39.2305,290.43,290.28,1018,79,Clear,7,Clear,287.61
9.1191,39.2305,291.22,291.09,1021,77,Rain,8,Clear,287.19
9.1191,39.2305,289.94,289.92,1021,86,Rain,9,Clear,287.26
9.1191,39.2305,290.93,290.98,1021,85,Clouds,10,Clear,290.43
9.1191,39.2305,292.31,292.53,1019,86,Clear,11,Rain,291.22
9.1191,39.2305,295.12,295.07,1018,65,Clouds,12,Rain,289.94
9.1191,39.2305,296.1,295.91,1017,56,Clouds,13,Clouds,290.93
9.1191,39.2305,295.98,295.68,1017,52,Clouds,14,Clear,292.31
9.1191,39.2305,295.42,295.03,1017,51,Clouds,15,Clouds,295.12
9.1191,39.2305,294.85,294.43,1017,52,Clouds,16,Clouds,296.1
9.1191,39.2305,293.89,293.48,1017,56,Clouds,17,Clouds,295.98
9.1191,39.2305,292.8,292.44,1018,62,Clouds,18,Clouds,295.42
9.1191,39.2305,292.15,291.75,1018,63,Clouds,19,Clouds,294.85
9.1191,39.2305,291.75,291.23,1018,60,Clouds,20,Clouds,293.89
9.1191,39.2305,291.56,291.05,1018,61,Clouds,21,Clouds,292.8
9.1191,39.2305,290.93,290.38,1018,62,Clear,22,Clouds,292.15
9.1191,39.2305,291.11,290.53,1018,60,Clear,23,Clouds,291.75
9.1191,39.2305,290.93,290.36,1017,61,Clear,0,Clouds,291.56
9.1191,39.2305,291.53,290.94,1017,58,Clear,1,Clear,290.93
9.1191,39.2305,290.93,290.3,1017,59,Clouds,2,Clear,291.11
9.1191,39.2305,291.66,291.03,1013,56,Clouds,3,Clear,290.93
9.1191,39.2305,289.97,289.46,1013,67,Clouds,4,Clear,291.53
9.1191,39.2305,289.66,289.17,1013,69,Clouds,5,Clouds,290.93
9.1191,39.2305,289.92,289.4,1013,67,Clear,6,Clouds,291.66
9.1191,39.2305,290.97,290.56,1013,67,Clear,7,Clouds,289.97
9.1191,39.2305,292.95,292.53,1013,59,Clear,8,Clouds,289.66
9.1191,39.2305,293.95,293.52,1013,55,Clouds,9,Clear,289.92
9.1191,39.2305,294.29,293.97,1013,58,Clouds,10,Clear,290.97
9.1191,39.2305,295.95,295.38,1012,42,Clouds,11,Clear,292.95
9.1191,39.2305,296.95,296.43,1011,40,Clouds,12,Clouds,293.95
9.1191,39.2305,297.35,296.84,1011,39,Clouds,13,Clouds,294.29
9.1191,39.2305,296.75,296.39,1012,47,Clouds,14,Clouds,295.95
9.1191,39.2305,295.93,295.54,1012,49,Clouds,15,Clouds,296.95
9.1191,39.2305,295.09,294.49,1013,44,Clouds,16,Clouds,297.35
9.1191,39.2305,293.84,293.24,1013,49,Clouds,17,Clouds,296.75
9.1191,39.2305,293.02,292.47,1013,54,Clear,18,Clouds,295.93
9.1191,39.2305,291.97,291.47,1014,60,Clear,19,Clouds,295.09
9.1191,39.2305,291.97,291.55,1014,63,Clear,20,Clouds,293.84
9.1191,39.2305,291.33,290.9,1015,65,Clear,21,Clear,293.02
9.1191,39.2305,290.71,290.27,1015,67,Clouds,22,Clear,291.97
9.1191,39.2305,290.93,290.51,1015,67,Clear,23,Clear,291.97
9.1191,39.2305,289.88,289.44,1015,70,Clear,0,Clear,291.33
9.1191,39.2305,288.6,288.11,1015,73,Clear,1,Clouds,290.71
9.1191,39.2305,288.2,287.72,1015,75,Clear,2,Clear,290.93
9.1191,39.2305,287.8,287.23,1015,73,Clear,3,Clear,289.88
9.1191,39.2305,286.55,286.06,1015,81,Clear,4,Clear,288.6
9.1191,39.2305,286.75,286.18,1015,77,Clear,5,Clear,288.2
9.1191,39.2305,286.39,285.78,1015,77,Clear,6,Clear,287.8
9.1191,39.2305,288.44,287.96,1016,74,Clear,7,Clear,286.55
9.1191,39.2305,290.5,289.99,1016,65,Clear,8,Clear,286.75
9.1191,39.2305,293.83,293.39,1016,55,Clear,9,Clear,286.39
9.1191,39.2305,295.71,295.33,1016,50,Clear,10,Clear,288.44
9.1191,39.2305,296.53,296.15,1016,47,Clouds,11,Clear,290.5
9.1191,39.2305,297.34,296.99,1015,45,Clouds,12,Clear,293.83
9.1191,39.2305,296.07,295.67,1015,48,Clouds,13,Clear,295.71
9.1191,39.2305,294.43,294.21,1015,61,Clouds,14,Clouds,296.53
9.1191,39.2305,294.24,294.02,1015,62,Clouds,15,Clouds,297.34
9.1191,39.2305,294.39,294.21,1015,63,Clouds,16,Clouds,296.07
9.1191,39.2305,293.17,293.0,1016,68,Rain,17,Clouds,294.43
9.1191,39.2305,292.98,292.85,1016,70,Clouds,18,Clouds,294.24
9.1191,39.2305,292.78,292.68,1017,72,Clouds,19,Clouds,294.39
9.1191,39.2305,291.77,291.67,1017,76,Clouds,20,Rain,293.17
9.1191,39.2305,290.93,290.72,1017,75,Clouds,21,Clouds,292.98
9.1191,39.2305,289.46,289.16,1017,77,Clouds,22,Clouds,292.78
9.1191,39.2305,289.48,289.23,1017,79,Clouds,23,Clouds,291.77
9.1191,39.2305,288.2,287.88,1017,81,Clouds,0,Clouds,290.93
9.1191,39.2305,287.38,286.97,1017,81,Clear,1,Clouds,289.46
9.1191,39.2305,286.55,286.11,1017,83,Clear,2,Clouds,289.48
9.1191,39.2305,286.33,285.9,1017,84,Clear,3,Clouds,288.2
9.1191,39.2305,285.91,285.43,1017,84,Clouds,4,Clear,287.38
9.1191,39.2305,286.11,285.6,1017,82,Clouds,5,Clear,286.55
9.1191,39.2305,285.67,285.12,1017,82,Clouds,6,Clear,286.33
9.1191,39.2305,287.62,287.21,1018,80,Clouds,7,Clouds,285.91
9.1191,39.2305,290.03,289.71,1017,74,Clouds,8,Clouds,286.11
9.1191,39.2305,292.99,292.65,1018,62,Clouds,9,Clouds,285.67
9.1191,39.2305,295.43,295.1,1018,53,Clouds,10,Clouds,287.62
9.1191,39.2305,296.68,296.37,1018,49,Clouds,11,Clouds,290.03
9.1191,39.2305,297.98,297.67,1017,44,Clouds,12,Clouds,292.99
9.1191,39.2305,297.75,297.47,1017,46,Clouds,13,Clouds,295.43
9.1191,39.2305,296.11,295.9,1017,55,Clouds,14,Clouds,296.68
9.1191,39.2305,295.26,294.96,1016,55,Clouds,15,Clouds,297.98
9.1191,39.2305,295.26,295.01,1016,57,Rain,16,Clouds,297.75
9.1191,39.2305,294.54,294.35,1016,62,Rain,17,Clouds,296.11
9.1191,39.2305,292.93,292.77,1017,69,Rain,18,Clouds,295.26
9.1191,39.2305,292.51,292.33,1017,70,Clouds,19,Rain,295.26
9.1191,39.2305,292.43,292.19,1017,68,Clouds,20,Rain,294.54
