lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
16.6008,38.8824,292.58,292.54,1021,75,Clouds,3,Clouds,292.58
16.6008,38.8824,292.58,292.54,1021,75,Clouds,4,Clouds,292.58
16.6008,38.8824,292.58,292.54,1021,75,Clouds,5,Clouds,292.58
16.6008,38.8824,292.58,292.54,1021,75,Clouds,6,Clouds,292.58
16.6008,38.8824,294.74,294.68,1021,66,Clouds,7,Clouds,292.58
16.6008,38.8824,296.31,296.22,1021,59,Clouds,8,Clouds,292.58
16.6008,38.8824,297.57,297.48,1021,54,Clouds,9,Clouds,292.58
16.6008,38.8824,298.46,298.38,1020,51,Clouds,10,Clouds,294.74
16.6008,38.8824,298.91,298.85,1020,50,Clouds,11,Clouds,296.31
16.6008,38.8824,298.43,298.4,1020,53,Clouds,12,Clouds,297.57
16.6008,38.8824,297.32,297.31,1020,58,Clouds,13,Clouds,298.46
16.6008,38.8824,296.41,296.41,1020,62,Rain,14,Clouds,298.91
16.6008,38.8824,295.99,296.0,1020,64,Rain,15,Clouds,298.43
16.6008,38.8824,295.66,295.66,1020,65,Clouds,16,Clouds,297.32
16.6008,38.8824,294.16,294.17,1020,71,Clouds,17,Rain,296.41
16.6008,38.8824,294.49,294.53,1021,71,Clouds,18,Rain,295.99
16.6008,38.8824,293.49,293.49,1021,73,Clouds,19,Clouds,295.66
16.6008,38.8824,293.49,293.51,1021,74,Clouds,20,Clouds,294.16
16.6008,38.8824,291.49,291.36,1021,76,Clouds,21,Clouds,294.49
16.6008,38.8824,291.49,291.39,1021,77,Clouds,22,Clouds,293.49
16.6008,38.8824,291.49,291.42,1021,78,Clouds,23,Clouds,293.49
16.6008,38.8824,290.49,290.32,1020,78,Clear,0,Clouds,291.49
16.6008,38.8824,289.49,289.24,1020,79,Clouds,1,Clouds,291.49
16.6008,38.8824,289.49,289.24,1020,79,Clouds,2,Clouds,291.49
16.6008,38.8824,290.5,290.38,1020,80,Clouds,3,Clear,290.49
16.6008,38.8824,290.49,290.37,1020,80,Clouds,4,Clouds,289.49
16.6008,38.8824,290.5,290.38,1020,80,Clouds,5,Clouds,289.49
16.6008,38.8824,292.11,291.99,1020,74,Clouds,6,Clouds,290.5
16.6008,38.8824,294.48,294.44,1020,68,Clouds,7,Clouds,290.49
16.6008,38.8824,296.17,296.2,1020,64,Clouds,8,Clouds,290.5
16.6008,38.8824,297.17,297.19,1020,60,Clouds,9,Clouds,292.11
16.6008,38.8824,297.85,297.92,1020,59,Clouds,10,Clouds,294.48
16.6008,38.8824,298.85,298.99,1020,58,Clouds,11,Clouds,296.17
16.6008,38.8824,298.85,299.02,1019,59,Clouds,12,Clouds,297.17
16.6008,38.8824,298.54,298.78,1019,63,Clouds,13,Clouds,297.85
16.6008,38.8824,297.54,297.78,1019,67,Clouds,14,Clouds,298.85
16.6008,38.8824,296.85,297.08,1019,69,Clouds,15,Clouds,298.85
16.6008,38.8824,296.49,296.79,1019,73,Clouds,16,Clouds,298.54
16.6008,38.8824,294.49,294.74,1020,79,Clouds,17,Clouds,297.54
16.6008,38.8824,294.17,294.42,1020,80,Clouds,18,Clouds,296.85
16.6008,38.8824,293.49,293.64,1020,79,Clouds,19,Clouds,296.49
16.6008,38.8824,293.49,293.67,1020,80,Clouds,20,Clouds,294.49
16.6008,38.8824,292.49,292.59,1021,81,Clouds,21,Clouds,294.17
16.6008,38.8824,293.49,293.72,1020,82,Clouds,22,Clouds,293.49
16.6008,38.8824,291.49,291.49,1020,81,Clouds,23,Clouds,293.49
16.6008,38.8824,291.49,291.52,1020,82,Clouds,0,Clouds,292.49
16.6008,38.8824,291.49,291.49,1020,81,Clouds,1,Clouds,293.49
16.6008,38.8824,291.49,291.49,1020,81,Clouds,2,Clouds,291.49
16.6008,38.8824,291.49,291.52,1020,82,Clouds,3,Clouds,291.49
16.6008,38.8824,291.49,291.52,1020,82,Clouds,4,Clouds,291.49
16.6008,38.8824,290.49,290.45,1020,83,Clouds,5,Clouds,291.49
16.6008,38.8824,291.8,291.76,1020,78,Clouds,6,Clouds,291.49
16.6008,38.8824,294.8,294.93,1020,73,Clouds,7,Clouds,291.49
16.6008,38.8824,296.17,296.3,1021,68,Clouds,8,Clouds,290.49
16.6008,38.8824,297.17,297.27,1021,63,Clouds,9,Clouds,291.8
16.6008,38.8824,297.17,297.19,1021,60,Clouds,10,Clouds,294.8
16.6008,38.8824,297.17,297.17,1020,59,Clouds,11,Clouds,296.17
16.6008,38.8824,297.85,297.81,1020,55,Clouds,12,Clouds,297.17
16.6008,38.8824,298.17,298.16,1020,55,Clouds,13,Clouds,297.17
16.6008,38.8824,297.17,297.12,1020,57,Clouds,14,Clouds,297.17
16.6008,38.8824,297.17,297.25,1020,62,Rain,15,Clouds,297.85
16.6008,38.8824,296.49,296.68,1020,69,Clouds,16,Clouds,298.17
16.6008,38.8824,294.49,294.64,1020,75,Clouds,17,Clouds,297.17
16.6008,38.8824,293.48,293.53,1020,75,Clouds,18,Rain,297.17
16.6008,38.8824,292.49,292.44,1021,75,Clouds,19,Clouds,296.49
16.6008,38.8824,291.49,291.34,1021,75,Clouds,20,Clouds,294.49
16.6008,38.8824,290.49,290.26,1021,76,Clouds,21,Clouds,293.48
16.6008,38.8824,291.49,291.39,1021,77,Clouds,22,Clouds,292.49
16.6008,38.8824,290.49,290.29,1021,77,Clouds,23,Clouds,291.49
16.6008,38.8824,290.49,290.42,1021,82,Clouds,0,Clouds,290.49
16.6008,38.8824,290.49,290.42,1021,82,Clouds,1,Clouds,291.49
16.6008,38.8824,290.49,290.42,1021,82,Clouds,2,Clouds,290.49
16.6008,38.8824,290.49,290.42,1021,82,Clouds,3,Clouds,290.49
16.6008,38.8824,290.49,290.45,1021,83,Clouds,4,Clouds,290.49
16.6008,38.8824,290.49,290.47,1021,84,Clouds,5,Clouds,290.49
16.6008,38.8824,291.49,291.39,1021,77,Clouds,6,Clouds,290.49
16.6008,38.8824,294.49,294.48,1022,69,Clouds,7,Clouds,290.49
16.6008,38.8824,296.48,296.51,1022,63,Clouds,8,Clouds,290.49
16.6008,38.8824,297.17,297.17,1022,59,Clouds,9,Clouds,291.49
