lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
11.2462,43.7792,288.86,288.39,1023,73,Clear,3,Clear,288.86
11.2462,43.7792,288.86,288.39,1023,73,Clear,4,Clear,288.86
11.2462,43.7792,288.86,288.39,1023,73,Clear,5,Clear,288.86
11.2462,43.7792,288.86,288.39,1023,73,Clear,6,Clear,288.86
11.2462,43.7792,290.74,290.28,1023,66,Clear,7,Clear,288.86
11.2462,43.7792,292.94,292.49,1023,58,Clear,8,Clear,288.86
11.2462,43.7792,295.22,294.76,1023,49,Clear,9,Clear,288.86
11.2462,43.7792,297.21,296.77,1022,42,Clear,10,Clear,290.74
11.2462,43.7792,298.79,298.38,1021,37,Clear,11,Clear,292.94
11.2462,43.7792,299.77,299.77,1021,33,Clear,12,Clear,295.22
11.2462,43.7792,300.22,299.65,1020,31,Clear,13,Clear,297.21
11.2462,43.7792,300.25,299.63,1019,30,Clear,14,Clear,298.79
11.2462,43.7792,299.75,299.75,1019,30,Clear,15,Clear,299.77
11.2462,43.7792,298.7,298.17,1019,33,Clear,16,Clear,300.22
11.2462,43.7792,292.18,291.65,1019,58,Clear,17,Clear,300.25
11.2462,43.7792,295.04,294.72,1018,55,Clear,18,Clear,299.75
11.2462,43.7792,293.49,293.17,1018,61,Clear,19,Clear,298.7
11.2462,43.7792,292.19,291.93,1019,68,Clear,20,Clear,292.18
11.2462,43.7792,291.3,291.05,1018,72,Clear,21,Clear,295.04
11.2462,43.7792,289.87,289.69,1018,80,Clear,22,Clear,293.49
11.2462,43.7792,289.54,289.35,1018,81,Clear,23,Clear,292.19
11.2462,43.7792,289.04,288.85,1018,83,Clear,0,Clear,291.3
11.2462,43.7792,287.76,287.63,1018,90,Clear,1,Clear,289.87
11.2462,43.7792,287.45,287.31,1017,91,Clear,2,Clear,289.54
11.2462,43.7792,288.3,288.09,1017,85,Clear,3,Clear,289.04
11.2462,43.7792,288.07,287.92,1017,88,Clear,4,Clear,287.76
11.2462,43.7792,288.22,288.05,1017,87,Clear,5,Clear,287.45
