lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
8.9151,44.4264,288.98,288.84,1023,85,Clear,3,Clear,288.98
8.9151,44.4264,288.98,288.84,1023,85,Clear,4,Clear,288.98
8.9151,44.4264,288.98,288.84,1023,85,Clear,5,Clear,288.98
8.9151,44.4264,288.98,288.84,1023,85,Clear,6,Clear,288.98
8.9151,44.4264,290.55,290.41,1023,79,Clear,7,Clear,288.98
8.9151,44.4264,292.16,291.94,1023,70,Clear,8,Clear,288.98
8.9151,44.4264,293.51,293.25,1023,63,Clear,9,Clear,288.98
8.9151,44.4264,294.61,294.33,1022,58,Clear,10,Clear,290.55
8.9151,44.4264,295.36,295.07,1022,55,Clear,11,Clear,292.16
8.9151,44.4264,295.76,295.49,1021,54,Clear,12,Clear,293.51
8.9151,44.4264,295.94,295.68,1021,54,Clear,13,Clear,294.61
8.9151,44.4264,295.8,295.61,1020,57,Clear,14,Clear,295.36
8.9151,44.4264,295.38,295.23,1020,60,Clear,15,Clear,295.76
8.9151,44.4264,294.39,294.29,1020,66,Clear,16,Clear,295.94
8.9151,44.4264,292.97,292.97,1020,75,Clear,17,Clear,295.8
8.9151,44.4264,292.78,292.73,1019,74,Clear,18,Clear,295.38
8.9151,44.4264,292.22,292.17,1019,76,Clear,19,Clear,294.39
8.9151,44.4264,291.46,291.41,1018,79,Clear,20,Clear,292.97
8.9151,44.4264,291.64,291.56,1019,77,Clear,21,Clear,292.78
8.9151,44.4264,291.4,291.29,1019,77,Clear,22,Clear,292.22
8.9151,44.4264,291.48,291.38,1018,77,Clear,23,Clear,291.46
8.9151,44.4264,291.16,291.03,1019,77,Clear,0,Clear,291.64
8.9151,44.4264,290.97,290.82,1019,77,Clear,1,Clear,291.4
8.9151,44.4264,290.83,290.66,1018,77,Clear,2,Clear,291.48
8.9151,44.4264,290.96,290.81,1017,77,Clear,3,Clear,291.16
8.9151,44.4264,290.89,290.68,1017,75,Clear,4,Clear,290.97
8.9151,44.4264,290.6,290.41,1017,77,Clear,5,Clear,290.83
8.9151,44.4264,290.3,290.08,1018,77,Fog,6,Clear,290.96
8.9151,44.4264,291.1,290.94,1018,76,Fog,7,Clear,290.89
8.9151,44.4264,293.45,293.39,1018,71,Clear,8,Clear,290.6
8.9151,44.4264,295.72,295.7,1018,64,Clear,9,Fog,290.3
8.9151,44.4264,296.48,296.46,1018,61,Clouds,10,Fog,291.1
8.9151,44.4264,296.95,297.0,1018,62,Clouds,11,Clear,293.45
8.9151,44.4264,296.55,296.7,1017,67,Clouds,12,Clear,295.72
8.9151,44.4264,296.8,297.0,1017,68,Clouds,13,Clouds,296.48
8.9151,44.4264,296.42,296.6,1017,69,Rain,14,Clouds,296.95
8.9151,44.4264,296.46,296.65,1017,69,Clear,15,Clouds,296.55
8.9151,44.4264,295.41,295.52,1017,70,Clear,16,Clouds,296.8
8.9151,44.4264,294.26,294.31,1018,72,Clouds,17,Rain,296.42
8.9151,44.4264,293.33,293.41,1017,77,Clear,18,Clear,296.46
8.9151,44.4264,292.34,292.43,1018,81,Clear,19,Clear,295.41
8.9151,44.4264,292.43,292.53,1018,81,Clear,20,Clouds,294.26
8.9151,44.4264,291.97,292.02,1018,81,Rain,21,Clear,293.33
8.9151,44.4264,291.98,292.03,1018,81,Rain,22,Clear,292.34
8.9151,44.4264,291.72,291.75,1017,81,Rain,23,Clear,292.43
8.9151,44.4264,291.81,291.95,1017,85,Rain,0,Rain,291.97
8.9151,44.4264,291.63,291.88,1016,90,Rain,1,Rain,291.98
8.9151,44.4264,291.04,291.31,1016,93,Rain,2,Rain,291.72
8.9151,44.4264,290.86,291.14,1016,94,Rain,3,Rain,291.81
