lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
9.1895,45.4642,288.59,287.76,1025,60,Clouds,3,Clouds,288.59
9.1895,45.4642,288.59,287.76,1025,60,Clouds,4,Clouds,288.59
9.1895,45.4642,288.59,287.76,1025,60,Clouds,5,Clouds,288.59
9.1895,45.4642,288.59,287.76,1025,60,Clouds,6,Clouds,288.59
9.1895,45.4642,288.74,288.05,1025,65,Clouds,7,Clouds,288.59
9.1895,45.4642,289.5,288.86,1025,64,Clouds,8,Clouds,288.59
9.1895,45.4642,290.3,289.56,1025,57,Clouds,9,Clouds,288.59
9.1895,45.4642,291.13,290.32,1024,51,Clouds,10,Clouds,288.74
9.1895,45.4642,292.13,291.34,1024,48,Clouds,11,Clouds,289.5
9.1895,45.4642,293.49,292.73,1023,44,Clouds,12,Clouds,290.3
9.1895,45.4642,294.19,293.47,1022,43,Clouds,13,Clouds,291.13
9.1895,45.4642,294.53,293.82,1022,42,Clouds,14,Clouds,292.13
9.1895,45.4642,294.59,293.91,1021,43,Clouds,15,Clouds,293.49
9.1895,45.4642,294.0,293.32,1021,45,Clouds,16,Clouds,294.19
9.1895,45.4642,292.72,292.25,1020,58,Clear,17,Clouds,294.53
9.1895,45.4642,292.2,291.81,1020,63,Clear,18,Clouds,294.59
9.1895,45.4642,291.44,291.0,1020,64,Clear,19,Clouds,294.0
9.1895,45.4642,290.65,290.26,1020,69,Clouds,20,Clear,292.72
9.1895,45.4642,290.07,289.67,1020,71,Clear,21,Clear,292.2
9.1895,45.4642,290.32,290.0,1020,73,Clouds,22,Clear,291.44
9.1895,45.4642,290.31,290.12,1020,78,Clouds,23,Clouds,290.65
9.1895,45.4642,290.39,290.02,1019,71,Clouds,0,Clear,290.07
9.1895,45.4642,290.26,289.93,1019,73,Clouds,1,Clouds,290.32
9.1895,45.4642,290.04,289.69,1019,73,Clouds,2,Clouds,290.31
9.1895,45.4642,289.78,289.43,1018,74,Clouds,3,Clouds,290.39
9.1895,45.4642,289.51,289.19,1018,76,Clouds,4,Clouds,290.26
9.1895,45.4642,289.42,289.09,1018,76,Clouds,5,Clouds,290.04
9.1895,45.4642,289.3,288.96,1018,76,Clouds,6,Clouds,289.78
9.1895,45.4642,289.89,289.47,1019,71,Clear,7,Clouds,289.51
9.1895,45.4642,290.9,290.51,1019,68,Clear,8,Clouds,289.42
9.1895,45.4642,291.56,291.18,1019,66,Clouds,9,Clouds,289.3
9.1895,45.4642,292.83,292.47,1019,62,Clouds,10,Clear,289.89
9.1895,45.4642,294.32,293.9,1018,54,Clear,11,Clear,290.9
9.1895,45.4642,294.47,293.99,1018,51,Clouds,12,Clouds,291.56
9.1895,45.4642,295.1,294.6,1018,48,Clear,13,Clouds,292.83
9.1895,45.4642,295.22,294.68,1017,46,Clear,14,Clear,294.32
9.1895,45.4642,295.24,294.76,1016,48,Clear,15,Clouds,294.47
9.1895,45.4642,294.69,294.23,1017,51,Clear,16,Clear,295.1
9.1895,45.4642,293.72,293.29,1017,56,Clear,17,Clear,295.22
9.1895,45.4642,292.67,292.24,1017,60,Clear,18,Clear,295.24
9.1895,45.4642,292.19,291.77,1017,62,Clear,19,Clear,294.69
9.1895,45.4642,291.61,291.21,1017,65,Rain,20,Clear,293.72
9.1895,45.4642,291.57,291.19,1017,66,Clouds,21,Clear,292.67
9.1895,45.4642,291.36,290.99,1017,67,Clouds,22,Clear,292.19
9.1895,45.4642,291.05,290.7,1017,69,Clouds,23,Rain,291.61
9.1895,45.4642,290.66,290.42,1017,75,Rain,0,Clouds,291.57
9.1895,45.4642,290.23,290.11,1017,81,Rain,1,Clouds,291.36
9.1895,45.4642,289.97,289.95,1017,86,Rain,2,Clouds,291.05
9.1895,45.4642,289.96,289.99,1017,88,Rain,3,Rain,290.66
9.1895,45.4642,289.71,289.82,1017,92,Rain,4,Rain,290.23
9.1895,45.4642,289.48,289.62,1017,94,Rain,5,Rain,289.97
9.1895,45.4642,289.54,289.69,1017,94,Fog,6,Rain,289.96
9.1895,45.4642,289.54,289.69,1017,94,Rain,6,Rain,289.71
9.1895,45.4642,289.32,289.45,1017,94,Clouds,7,Rain,289.48
9.1895,45.4642,289.99,290.11,1018,91,Clouds,8,Fog,289.54
9.1895,45.4642,290.5,290.54,1017,86,Clouds,9,Rain,289.54
9.1895,45.4642,290.48,290.59,1018,89,Rain,10,Clouds,289.32
9.1895,45.4642,291.4,291.53,1017,86,Clouds,11,Clouds,289.99
9.1895,45.4642,291.06,291.28,1018,91,Rain,12,Clouds,290.5
9.1895,45.4642,291.28,291.52,1018,91,Rain,13,Rain,290.48
9.1895,45.4642,292.14,292.34,1015,86,Rain,14,Clouds,291.4
9.1895,45.4642,292.12,292.21,1015,82,Rain,15,Rain,291.06
9.1895,45.4642,291.68,291.83,1015,86,Rain,16,Rain,291.28
9.1895,45.4642,291.42,291.55,1016,86,Rain,17,Rain,292.14
9.1895,45.4642,291.23,291.37,1016,87,Rain,18,Rain,292.12
9.1895,45.4642,291.03,291.2,1016,89,Rain,19,Rain,291.68
9.1895,45.4642,290.89,291.04,1016,89,Rain,20,Rain,291.42
9.1895,45.4642,290.93,291.09,1017,89,Rain,21,Rain,291.23
9.1895,45.4642,291.03,291.2,1017,89,Clouds,22,Rain,291.03
9.1895,45.4642,291.16,291.31,1017,88,Clouds,23,Rain,290.89
9.1895,45.4642,291.17,291.33,1017,88,Clouds,0,Rain,290.93
9.1895,45.4642,291.12,291.27,1017,88,Clouds,1,Clouds,291.03
9.1895,45.4642,291.11,291.26,1016,88,Rain,2,Clouds,291.16
9.1895,45.4642,291.03,291.2,1016,89,Rain,3,Clouds,291.17
9.1895,45.4642,291.17,291.35,1015,89,Rain,4,Clouds,291.12
9.1895,45.4642,291.01,291.2,1015,90,Rain,5,Rain,291.11
9.1895,45.4642,291.02,291.24,1016,91,Rain,6,Rain,291.03
9.1895,45.4642,290.9,291.11,1016,91,Rain,7,Rain,291.17
9.1895,45.4642,290.93,291.22,1018,94,Rain,8,Rain,291.01
9.1895,45.4642,291.27,291.59,1017,94,Fog,9,Rain,291.02
9.1895,45.4642,291.27,291.59,1017,94,Rain,9,Rain,290.9
9.1895,45.4642,291.58,291.93,1017,94,Rain,10,Rain,290.93
9.1895,45.4642,291.49,291.83,1018,94,Rain,11,Fog,291.27
9.1895,45.4642,291.5,291.87,1017,95,Rain,12,Rain,291.27
9.1895,45.4642,291.36,291.72,1017,95,Rain,13,Rain,291.58
9.1895,45.4642,291.25,291.57,1015,94,Rain,14,Rain,291.49
9.1895,45.4642,291.13,291.41,1015,93,Rain,15,Rain,291.5
9.1895,45.4642,290.9,291.16,1015,93,Rain,16,Rain,291.36
9.1895,45.4642,290.51,290.76,1014,94,Rain,17,Rain,291.25
9.1895,45.4642,290.51,290.76,1014,94,Rain,17,Rain,291.13
9.1895,45.4642,290.7,290.99,1013,95,Rain,18,Rain,290.9
9.1895,45.4642,290.7,290.99,1013,95,Rain,18,Rain,290.51
9.1895,45.4642,290.36,290.62,1013,95,Rain,19,Rain,290.51
9.1895,45.4642,290.22,290.46,1013,95,Rain,20,Rain,290.7
9.1895,45.4642,290.22,290.46,1013,95,Rain,20,Rain,290.7
9.1895,45.4642,290.48,290.75,1013,95,Rain,21,Rain,290.36
9.1895,45.4642,291.25,291.6,1012,95,Rain,22,Rain,290.22
9.1895,45.4642,291.56,291.91,1011,94,Rain,23,Rain,290.22
9.1895,45.4642,291.37,291.7,1011,94,Rain,0,Rain,290.48
9.1895,45.4642,291.13,291.44,1011,94,Rain,1,Rain,291.25
9.1895,45.4642,290.82,291.12,1011,95,Rain,2,Rain,291.56
9.1895,45.4642,290.73,291.02,1011,95,Rain,3,Rain,291.37
9.1895,45.4642,290.78,291.08,1010,95,Rain,4,Rain,291.13
9.1895,45.4642,290.73,291.02,1011,95,Rain,5,Rain,290.82
9.1895,45.4642,290.23,290.5,1011,96,Fog,6,Rain,290.73
9.1895,45.4642,290.23,290.5,1011,96,Rain,6,Rain,290.78
9.1895,45.4642,290.55,290.83,1011,95,Rain,7,Rain,290.73
9.1895,45.4642,291.64,291.61,1011,79,Rain,8,Fog,290.23
9.1895,45.4642,291.86,291.59,1011,69,Rain,9,Rain,290.23
9.1895,45.4642,292.01,291.73,1012,68,Rain,10,Rain,290.55
9.1895,45.4642,291.61,291.44,1012,74,Rain,11,Rain,291.64
9.1895,45.4642,290.71,290.64,1012,81,Rain,12,Rain,291.86
9.1895,45.4642,290.34,290.31,1011,84,Rain,13,Rain,292.01
9.1895,45.4642,289.54,289.56,1012,89,Rain,14,Rain,291.61
9.1895,45.4642,289.34,289.39,1012,91,Rain,15,Rain,290.71
9.1895,45.4642,289.54,289.61,1012,91,Rain,16,Rain,290.34
9.1895,45.4642,289.34,289.42,1012,92,Rain,17,Rain,289.54
9.1895,45.4642,288.9,288.99,1012,94,Clouds,18,Rain,289.34
9.1895,45.4642,288.84,288.89,1012,93,Rain,19,Rain,289.54
9.1895,45.4642,288.95,289.01,1012,93,Rain,20,Rain,289.34
9.1895,45.4642,288.91,288.97,1013,93,Rain,21,Clouds,288.9
9.1895,45.4642,288.78,288.85,1013,94,Rain,22,Rain,288.84
9.1895,45.4642,288.77,288.84,1013,94,Rain,23,Rain,288.95
9.1895,45.4642,288.77,288.84,1013,94,Rain,0,Rain,288.91
9.1895,45.4642,288.79,288.86,1012,94,Rain,1,Rain,288.78
9.1895,45.4642,288.59,288.64,1012,94,Rain,2,Rain,288.77
9.1895,45.4642,288.48,288.52,1012,94,Rain,3,Rain,288.77
9.1895,45.4642,288.45,288.52,1012,95,Rain,4,Rain,288.79
9.1895,45.4642,288.39,288.45,1011,95,Rain,5,Rain,288.59
9.1895,45.4642,288.03,288.05,1012,95,Rain,6,Rain,288.48
9.1895,45.4642,288.03,288.05,1012,95,Fog,6,Rain,288.45
9.1895,45.4642,287.13,287.06,1012,95,Rain,7,Rain,288.39
9.1895,45.4642,287.47,287.41,1012,94,Rain,8,Rain,288.03
9.1895,45.4642,287.41,287.29,1014,92,Rain,9,Fog,288.03
9.1895,45.4642,287.98,287.82,1013,88,Rain,10,Rain,287.13
9.1895,45.4642,289.98,289.73,1013,77,Rain,11,Rain,287.47
9.1895,45.4642,287.98,287.16,1013,63,Rain,12,Rain,287.41
9.1895,45.4642,287.98,287.16,1013,63,Rain,13,Rain,287.98
9.1895,45.4642,288.98,288.26,1013,63,Clouds,14,Rain,289.98
9.1895,45.4642,288.99,288.33,1013,65,Clouds,15,Rain,287.98
9.1895,45.4642,288.96,288.37,1013,68,Clouds,16,Rain,287.98
9.1895,45.4642,288.25,287.67,1014,71,Clouds,17,Clouds,288.98
9.1895,45.4642,287.47,286.71,1014,67,Clouds,18,Clouds,288.99
9.1895,45.4642,286.92,286.28,1015,74,Clouds,19,Clouds,288.96
9.1895,45.4642,287.41,286.75,1015,71,Clouds,20,Clouds,288.25
9.1895,45.4642,287.15,286.49,1015,72,Clouds,21,Clouds,287.47
9.1895,45.4642,286.65,286.12,1016,79,Clouds,22,Clouds,286.92
9.1895,45.4642,285.05,284.44,1015,82,Clouds,23,Clouds,287.41
9.1895,45.4642,284.84,284.18,1015,81,Clouds,0,Clouds,287.15
9.1895,45.4642,284.56,283.77,1015,77,Clear,1,Clouds,286.65
9.1895,45.4642,283.97,283.3,1016,84,Clear,2,Clouds,285.05
9.1895,45.4642,283.65,282.9,1015,82,Clear,3,Clouds,284.84
9.1895,45.4642,283.07,283.07,1015,85,Clear,4,Clear,284.56
9.1895,45.4642,282.67,282.67,1016,89,Clouds,5,Clear,283.97
9.1895,45.4642,282.92,282.92,1015,86,Clouds,6,Clear,283.65
9.1895,45.4642,284.04,283.43,1015,86,Clouds,7,Clear,283.07
9.1895,45.4642,285.85,285.4,1015,85,Clouds,8,Clouds,282.67
9.1895,45.4642,287.85,287.33,1016,75,Clouds,9,Clouds,282.92
9.1895,45.4642,290.66,290.03,1014,60,Clouds,10,Clouds,284.04
9.1895,45.4642,291.98,291.25,1014,51,Clouds,11,Clouds,285.85
9.1895,45.4642,292.75,291.86,1014,42,Clouds,12,Clouds,287.85
9.1895,45.4642,293.2,292.33,1014,41,Clouds,13,Clouds,290.66
9.1895,45.4642,293.62,292.71,1015,38,Clouds,14,Clouds,291.98
