lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
14.2464,40.8563,293.52,293.31,1020,65,Clear,3,Clear,293.52
14.2464,40.8563,293.52,293.31,1020,65,Clear,4,Clear,293.52
14.2464,40.8563,293.52,293.31,1020,65,Clear,5,Clear,293.52
14.2464,40.8563,293.52,293.31,1020,65,Clear,6,Clear,293.52
14.2464,40.8563,294.65,294.4,1021,59,Clear,7,Clear,293.52
14.2464,40.8563,295.83,295.54,1021,53,Clear,8,Clear,293.52
14.2464,40.8563,297.0,296.69,1021,48,Clear,9,Clear,293.52
14.2464,40.8563,297.88,297.58,1020,45,Clear,10,Clear,294.65
14.2464,40.8563,298.42,298.18,1020,45,Clear,11,Clear,295.83
14.2464,40.8563,298.65,298.4,1020,44,Clear,12,Clear,297.0
14.2464,40.8563,298.92,298.68,1019,43,Clear,13,Clear,297.88
14.2464,40.8563,298.96,298.72,1019,43,Clear,14,Clear,298.42
14.2464,40.8563,298.56,298.33,1018,45,Clear,15,Clear,298.65
14.2464,40.8563,297.72,297.54,1018,50,Clear,16,Clear,298.92
14.2464,40.8563,295.8,295.82,1020,65,Clear,17,Clear,298.96
14.2464,40.8563,295.26,295.33,1020,69,Clear,18,Clear,298.56
14.2464,40.8563,294.29,294.5,1020,78,Clear,19,Clear,297.72
14.2464,40.8563,294.3,294.48,1020,77,Clear,20,Clear,295.8
14.2464,40.8563,293.96,293.85,1020,67,Clear,21,Clear,295.26
14.2464,40.8563,293.24,293.21,1020,73,Clear,22,Clear,294.29
14.2464,40.8563,292.66,292.57,1020,73,Clear,23,Clear,294.3
14.2464,40.8563,292.24,292.11,1020,73,Clear,0,Clear,293.96
14.2464,40.8563,292.08,291.93,1019,73,Clear,1,Clear,293.24
14.2464,40.8563,291.64,291.45,1019,73,Clear,2,Clear,292.66
14.2464,40.8563,291.81,291.69,1018,75,Clear,3,Clear,292.24
14.2464,40.8563,291.66,291.55,1018,76,Clear,4,Clear,292.08
14.2464,40.8563,291.88,291.71,1018,73,Clear,5,Clear,291.64
14.2464,40.8563,292.31,292.24,1018,75,Clear,6,Clear,291.81
14.2464,40.8563,294.15,294.11,1019,69,Clear,7,Clear,291.66
14.2464,40.8563,295.94,295.95,1019,64,Clear,8,Clear,291.88
14.2464,40.8563,296.24,296.28,1019,64,Clouds,9,Clear,292.31
14.2464,40.8563,296.38,296.59,1019,70,Clouds,10,Clear,294.15
14.2464,40.8563,296.48,296.59,1020,66,Rain,11,Clear,295.94
14.2464,40.8563,296.78,296.97,1019,68,Clouds,12,Clouds,296.24
14.2464,40.8563,297.21,297.42,1019,67,Clouds,13,Clouds,296.38
14.2464,40.8563,296.5,296.59,1018,65,Rain,14,Rain,296.48
14.2464,40.8563,296.07,296.11,1018,65,Clouds,15,Clouds,296.78
14.2464,40.8563,295.67,295.7,1018,66,Clouds,16,Clouds,297.21
14.2464,40.8563,295.1,295.1,1018,67,Clear,17,Rain,296.5
14.2464,40.8563,294.52,294.49,1019,68,Clear,18,Clouds,296.07
14.2464,40.8563,294.32,294.32,1019,70,Rain,19,Clouds,295.67
14.2464,40.8563,294.13,294.14,1020,71,Rain,20,Clear,295.1
14.2464,40.8563,293.42,293.49,1020,76,Rain,21,Clear,294.52
14.2464,40.8563,293.59,293.6,1020,73,Rain,22,Rain,294.32
14.2464,40.8563,293.1,293.11,1020,75,Rain,23,Rain,294.13
14.2464,40.8563,292.93,292.92,1019,75,Clouds,0,Rain,293.42
14.2464,40.8563,292.32,292.36,1019,79,Clouds,1,Rain,293.59
14.2464,40.8563,292.89,292.9,1019,76,Rain,2,Rain,293.1
14.2464,40.8563,291.98,291.98,1019,79,Rain,3,Clouds,292.93
14.2464,40.8563,291.83,291.89,1019,82,Rain,4,Clouds,292.32
14.2464,40.8563,292.0,292.06,1019,81,Rain,5,Rain,292.89
14.2464,40.8563,292.22,292.3,1019,81,Rain,6,Rain,291.98
14.2464,40.8563,294.76,294.93,1020,75,Clouds,7,Rain,291.83
14.2464,40.8563,296.15,296.26,1020,67,Clouds,8,Rain,292.0
14.2464,40.8563,297.37,297.28,1020,55,Clouds,9,Rain,292.22
14.2464,40.8563,297.65,297.59,1020,55,Clouds,10,Clouds,294.76
14.2464,40.8563,298.01,298.01,1020,56,Rain,11,Clouds,296.15
14.2464,40.8563,298.36,298.48,1019,59,Rain,12,Clouds,297.37
14.2464,40.8563,298.11,298.28,1019,62,Rain,13,Clouds,297.65
14.2464,40.8563,297.7,297.96,1018,67,Clouds,14,Rain,298.01
14.2464,40.8563,296.89,297.17,1018,71,Clouds,15,Rain,298.36
14.2464,40.8563,296.6,296.88,1019,72,Clouds,16,Rain,298.11
14.2464,40.8563,295.25,295.53,1018,77,Clouds,17,Clouds,297.7
14.2464,40.8563,294.8,295.11,1019,80,Clouds,18,Clouds,296.89
14.2464,40.8563,294.37,294.64,1020,80,Clouds,19,Clouds,296.6
14.2464,40.8563,293.46,293.74,1020,84,Clear,20,Clouds,295.25
14.2464,40.8563,293.67,293.92,1020,82,Rain,21,Clouds,294.8
14.2464,40.8563,292.92,293.09,1020,82,Rain,22,Clouds,294.37
14.2464,40.8563,293.14,293.34,1020,82,Clear,23,Clear,293.46
14.2464,40.8563,292.59,292.78,1020,84,Clear,0,Rain,293.67
14.2464,40.8563,292.15,292.3,1020,84,Clear,1,Rain,292.92
14.2464,40.8563,291.96,291.99,1020,80,Clear,2,Clear,293.14
14.2464,40.8563,291.71,291.74,1020,81,Clear,3,Clear,292.59
14.2464,40.8563,292.17,292.16,1020,78,Clear,4,Clear,292.15
14.2464,40.8563,291.99,291.97,1020,78,Clear,5,Clear,291.96
14.2464,40.8563,292.97,292.97,1020,75,Clear,6,Clear,291.71
14.2464,40.8563,294.74,294.76,1020,69,Clear,7,Clear,292.17
14.2464,40.8563,296.59,296.69,1020,65,Clear,8,Clear,291.99
14.2464,40.8563,297.13,297.28,1020,65,Clouds,9,Clear,292.97
14.2464,40.8563,298.03,298.22,1021,63,Clouds,10,Clear,294.74
14.2464,40.8563,298.46,298.69,1020,63,Clouds,11,Clear,296.59
14.2464,40.8563,298.68,298.93,1020,63,Clouds,12,Clouds,297.13
14.2464,40.8563,298.42,298.7,1019,65,Clouds,13,Clouds,298.03
14.2464,40.8563,297.95,298.26,1019,68,Clouds,14,Clouds,298.46
14.2464,40.8563,297.75,297.99,1019,66,Clouds,15,Clouds,298.68
14.2464,40.8563,297.11,297.39,1019,70,Clouds,16,Clouds,298.42
14.2464,40.8563,295.69,295.88,1019,72,Clouds,17,Clouds,297.95
14.2464,40.8563,295.56,295.76,1019,73,Clouds,18,Clouds,297.75
14.2464,40.8563,294.95,295.07,1019,72,Clouds,19,Clouds,297.11
14.2464,40.8563,294.9,294.93,1019,69,Clouds,20,Clouds,295.69
14.2464,40.8563,294.86,294.91,1020,70,Clouds,21,Clouds,295.56
14.2464,40.8563,294.41,294.47,1020,72,Clouds,22,Clouds,294.95
14.2464,40.8563,294.39,294.4,1020,70,Clouds,23,Clouds,294.9
14.2464,40.8563,294.04,294.04,1019,71,Rain,0,Clouds,294.86
14.2464,40.8563,294.18,294.19,1019,71,Rain,1,Clouds,294.41
14.2464,40.8563,294.37,294.35,1018,69,Rain,2,Clouds,294.39
14.2464,40.8563,294.17,294.21,1018,72,Rain,3,Rain,294.04
14.2464,40.8563,293.32,293.4,1019,77,Rain,4,Rain,294.18
14.2464,40.8563,293.32,293.4,1019,77,Rain,4,Rain,294.37
14.2464,40.8563,290.94,291.12,1020,90,Rain,5,Rain,294.17
14.2464,40.8563,290.94,291.12,1020,90,Rain,5,Rain,293.32
14.2464,40.8563,290.88,291.08,1020,91,Rain,6,Rain,293.32
14.2464,40.8563,290.88,291.08,1020,91,Rain,6,Rain,290.94
14.2464,40.8563,290.8,290.92,1019,88,Rain,7,Rain,290.94
14.2464,40.8563,290.8,290.92,1019,88,Rain,7,Rain,290.88
14.2464,40.8563,291.71,291.84,1018,85,Rain,8,Rain,290.88
14.2464,40.8563,291.71,291.84,1018,85,Rain,8,Rain,290.8
14.2464,40.8563,292.37,292.51,1019,83,Rain,9,Rain,290.8
14.2464,40.8563,292.37,292.51,1019,83,Rain,9,Rain,291.71
14.2464,40.8563,293.49,293.64,1019,79,Rain,10,Rain,291.71
14.2464,40.8563,294.11,294.22,1020,75,Clouds,11,Rain,292.37
14.2464,40.8563,294.24,294.42,1019,77,Rain,12,Rain,292.37
14.2464,40.8563,294.74,294.97,1018,77,Rain,13,Rain,293.49
14.2464,40.8563,295.0,295.3,1018,79,Rain,14,Clouds,294.11
14.2464,40.8563,293.32,293.72,1018,89,Rain,15,Rain,294.24
14.2464,40.8563,293.32,293.72,1018,89,Rain,15,Rain,294.74
14.2464,40.8563,292.99,293.3,1019,87,Rain,16,Rain,295.0
14.2464,40.8563,292.99,293.3,1019,87,Rain,16,Rain,293.32
14.2464,40.8563,292.54,292.88,1018,90,Rain,17,Rain,293.32
14.2464,40.8563,292.54,292.88,1018,90,Rain,17,Rain,292.99
14.2464,40.8563,292.19,292.55,1018,92,Rain,18,Rain,292.99
14.2464,40.8563,292.0,292.32,1018,91,Rain,19,Rain,292.54
14.2464,40.8563,291.75,292.09,1019,93,Rain,20,Rain,292.54
14.2464,40.8563,291.6,292.01,1019,96,Rain,21,Rain,292.19
14.2464,40.8563,291.54,291.89,1019,94,Rain,22,Rain,292.0
14.2464,40.8563,291.5,291.9,1019,96,Rain,23,Rain,291.75
14.2464,40.8563,291.27,291.59,1018,94,Rain,0,Rain,291.6
14.2464,40.8563,291.27,291.54,1018,92,Clouds,1,Rain,291.54
14.2464,40.8563,290.93,291.22,1017,94,Rain,2,Rain,291.5
