lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
13.3356,38.132,295.31,295.64,1019,79,Rain,3,Rain,295.31
13.3356,38.132,295.31,295.64,1019,79,Rain,4,Rain,295.31
13.3356,38.132,295.31,295.64,1019,79,Rain,5,Rain,295.31
13.3356,38.132,295.31,295.64,1019,79,Rain,6,Rain,295.31
13.3356,38.132,296.3,296.55,1020,72,Rain,7,Rain,295.31
13.3356,38.132,297.02,297.24,1020,68,Rain,8,Rain,295.31
13.3356,38.132,297.67,297.85,1020,64,Rain,9,Rain,295.31
13.3356,38.132,298.13,298.3,1020,62,Rain,10,Rain,296.3
13.3356,38.132,297.93,298.11,1020,63,Rain,11,Rain,297.02
13.3356,38.132,297.83,297.97,1019,62,Rain,12,Rain,297.67
13.3356,38.132,297.86,298.01,1019,62,Rain,13,Rain,298.13
13.3356,38.132,297.42,297.55,1019,63,Rain,14,Rain,297.93
13.3356,38.132,297.12,297.24,1018,64,Rain,15,Rain,297.83
13.3356,38.132,296.97,297.1,1019,65,Rain,16,Rain,297.86
13.3356,38.132,295.27,295.55,1019,77,Rain,17,Rain,297.42
13.3356,38.132,295.25,295.53,1019,77,Rain,18,Rain,297.12
13.3356,38.132,294.62,295.12,1014,88,Rain,19,Rain,296.97
13.3356,38.132,294.62,295.02,1014,84,Rain,20,Rain,295.27
13.3356,38.132,295.02,295.43,1013,83,Rain,21,Rain,295.25
13.3356,38.132,294.94,295.34,1013,83,Rain,22,Rain,294.62
13.3356,38.132,294.59,294.98,1013,84,Rain,23,Rain,294.62
13.3356,38.132,294.38,294.73,1013,83,Rain,0,Rain,295.02
13.3356,38.132,293.78,294.04,1015,82,Rain,1,Rain,294.94
13.3356,38.132,294.03,294.26,1014,80,Rain,2,Rain,294.59
13.3356,38.132,294.03,294.24,1013,79,Rain,3,Rain,294.38
13.3356,38.132,293.8,293.98,1014,79,Rain,4,Rain,293.78
13.3356,38.132,293.71,293.94,1014,81,Rain,5,Rain,294.03
13.3356,38.132,294.1,294.31,1014,79,Rain,6,Rain,294.03
13.3356,38.132,295.19,295.46,1012,77,Rain,7,Rain,293.8
13.3356,38.132,296.87,297.13,1012,70,Rain,8,Rain,293.71
13.3356,38.132,297.96,298.12,1015,62,Clouds,9,Rain,294.1
13.3356,38.132,299.0,299.16,1014,58,Clouds,10,Rain,295.19
13.3356,38.132,298.66,298.75,1015,57,Clouds,11,Rain,296.87
13.3356,38.132,298.82,298.93,1014,57,Rain,12,Clouds,297.96
13.3356,38.132,297.89,298.22,1011,69,Rain,13,Clouds,299.0
13.3356,38.132,297.31,297.71,1012,74,Rain,14,Clouds,298.66
13.3356,38.132,296.05,296.48,1017,80,Rain,15,Rain,298.82
13.3356,38.132,294.54,294.95,1017,85,Rain,16,Rain,297.89
13.3356,38.132,294.25,294.61,1018,84,Rain,17,Rain,297.31
13.3356,38.132,293.39,293.87,1012,92,Rain,18,Rain,296.05
13.3356,38.132,293.49,293.93,1013,90,Rain,19,Rain,294.54
13.3356,38.132,293.02,293.39,1016,89,Clear,20,Rain,294.25
13.3356,38.132,293.66,294.06,1012,88,Rain,21,Rain,293.39
13.3356,38.132,293.11,293.41,1014,86,Clouds,22,Rain,293.49
13.3356,38.132,293.77,294.16,1012,87,Clouds,23,Clear,293.02
13.3356,38.132,292.82,293.06,1015,85,Clouds,0,Rain,293.66
13.3356,38.132,293.37,293.72,1012,87,Clouds,1,Clouds,293.11
13.3356,38.132,293.24,293.6,1012,88,Clouds,2,Clouds,293.77
13.3356,38.132,293.24,293.6,1012,88,Clouds,3,Clouds,292.82
13.3356,38.132,292.77,293.03,1012,86,Clouds,4,Clouds,293.37
13.3356,38.132,292.77,293.01,1012,85,Clouds,5,Clouds,293.24
13.3356,38.132,293.13,293.35,1015,83,Clouds,6,Clouds,293.24
13.3356,38.132,294.57,294.86,1012,80,Clouds,7,Clouds,292.77
13.3356,38.132,296.02,296.22,1016,71,Clouds,8,Clouds,292.77
13.3356,38.132,298.19,298.37,1013,62,Clouds,9,Clouds,293.13
13.3356,38.132,299.13,299.13,1013,58,Clouds,10,Clouds,294.57
13.3356,38.132,299.63,299.63,1012,56,Clouds,11,Clouds,296.02
13.3356,38.132,298.5,298.66,1015,60,Rain,12,Clouds,298.19
13.3356,38.132,299.57,299.57,1012,59,Rain,13,Clouds,299.13
13.3356,38.132,298.76,299.02,1017,63,Clouds,14,Clouds,299.63
13.3356,38.132,298.96,299.29,1012,65,Clouds,15,Rain,298.5
13.3356,38.132,297.64,297.97,1012,70,Clouds,16,Rain,299.57
13.3356,38.132,297.0,297.32,1012,72,Clouds,17,Clouds,298.76
13.3356,38.132,296.5,296.85,1012,75,Clear,18,Clouds,298.96
13.3356,38.132,295.92,296.18,1013,74,Clear,19,Clouds,297.64
13.3356,38.132,295.32,295.52,1013,74,Clear,20,Clouds,297.0
13.3356,38.132,294.9,295.11,1013,76,Clear,21,Clear,296.5
13.3356,38.132,294.62,294.86,1013,78,Clear,22,Clear,295.92
13.3356,38.132,293.78,293.94,1015,78,Clear,23,Clear,295.32
13.3356,38.132,293.26,293.44,1015,81,Clear,0,Clear,294.9
13.3356,38.132,293.14,293.31,1015,81,Clear,1,Clear,294.62
13.3356,38.132,293.51,293.66,1012,79,Clear,2,Clear,293.78
13.3356,38.132,293.12,293.21,1012,78,Clear,3,Clear,293.26
13.3356,38.132,293.2,293.22,1012,75,Clear,4,Clear,293.14
13.3356,38.132,293.21,293.18,1013,73,Clear,5,Clear,293.51
13.3356,38.132,293.72,293.71,1016,72,Clear,6,Clear,293.12
13.3356,38.132,295.44,295.4,1016,64,Clouds,7,Clear,293.2
13.3356,38.132,297.22,297.2,1016,58,Clouds,8,Clear,293.21
13.3356,38.132,298.37,298.38,1016,55,Clouds,9,Clear,293.72
13.3356,38.132,299.56,299.56,1016,51,Clouds,10,Clouds,295.44
13.3356,38.132,300.38,300.72,1016,49,Clouds,11,Clouds,297.22
13.3356,38.132,300.83,301.33,1015,51,Clear,12,Clouds,298.37
13.3356,38.132,300.23,300.77,1020,52,Rain,13,Clouds,299.56
13.3356,38.132,301.07,302.17,1015,57,Clear,14,Clouds,300.38
13.3356,38.132,300.26,301.69,1015,64,Clear,15,Clear,300.83
13.3356,38.132,298.93,299.37,1015,69,Clear,16,Rain,300.23
13.3356,38.132,298.35,298.78,1012,71,Clear,17,Clear,301.07
13.3356,38.132,297.21,297.5,1015,70,Clouds,18,Clear,300.26
13.3356,38.132,296.71,296.98,1016,71,Clouds,19,Clear,298.93
13.3356,38.132,296.9,297.21,1013,72,Clouds,20,Clear,298.35
13.3356,38.132,296.23,296.42,1016,70,Clouds,21,Clouds,297.21
13.3356,38.132,295.86,296.07,1014,72,Clouds,22,Clouds,296.71
13.3356,38.132,295.79,296.02,1013,73,Clouds,23,Clouds,296.9
13.3356,38.132,295.61,295.82,1013,73,Rain,0,Clouds,296.23
13.3356,38.132,295.4,295.53,1016,71,Rain,1,Clouds,295.86
13.3356,38.132,296.47,296.66,1012,69,Rain,2,Clouds,295.79
13.3356,38.132,296.11,296.24,1013,68,Rain,3,Rain,295.61
13.3356,38.132,297.52,297.55,1010,59,Rain,4,Rain,295.4
13.3356,38.132,296.61,296.58,1014,60,Rain,5,Rain,296.47
13.3356,38.132,296.15,296.23,1014,66,Rain,6,Rain,296.11
13.3356,38.132,297.89,298.09,1015,64,Rain,7,Rain,297.52
13.3356,38.132,297.8,298.07,1014,67,Rain,8,Rain,296.61
13.3356,38.132,293.35,292.99,1019,60,Clouds,9,Rain,296.15
13.3356,38.132,291.96,291.38,1018,57,Clouds,10,Rain,297.89
13.3356,38.132,292.96,292.93,1019,74,Rain,11,Rain,297.8
13.3356,38.132,292.22,292.66,1014,95,Rain,12,Clouds,293.35
13.3356,38.132,292.74,293.16,1013,92,Rain,13,Clouds,291.96
13.3356,38.132,292.91,293.27,1013,89,Rain,14,Rain,292.96
13.3356,38.132,293.41,293.74,1011,86,Rain,15,Rain,292.22
13.3356,38.132,294.8,294.82,1018,69,Clouds,16,Rain,292.74
13.3356,38.132,293.95,294.15,1011,79,Clouds,17,Rain,292.91
13.3356,38.132,294.21,294.28,1015,73,Rain,18,Rain,293.41
13.3356,38.132,293.86,293.81,1015,70,Clouds,19,Clouds,294.8
13.3356,38.132,293.37,293.28,1016,70,Clouds,20,Clouds,293.95
13.3356,38.132,294.18,294.17,1014,70,Clouds,21,Rain,294.21
13.3356,38.132,294.46,294.55,1014,73,Clouds,22,Clouds,293.86
13.3356,38.132,294.2,294.32,1016,75,Clouds,23,Clouds,293.37
13.3356,38.132,294.03,294.24,1016,79,Rain,0,Clouds,294.18
13.3356,38.132,294.54,294.8,1013,79,Rain,1,Clouds,294.46
13.3356,38.132,294.0,294.26,1015,81,Rain,2,Clouds,294.2
13.3356,38.132,294.17,294.44,1015,81,Rain,3,Rain,294.03
13.3356,38.132,293.8,294.19,1015,87,Rain,4,Rain,294.54
13.3356,38.132,293.26,293.65,1015,89,Rain,5,Rain,294.0
13.3356,38.132,293.53,293.97,1015,90,Rain,6,Rain,294.17
13.3356,38.132,294.47,294.96,1016,88,Clear,7,Rain,293.8
13.3356,38.132,295.99,296.39,1013,79,Clear,8,Rain,293.26
13.3356,38.132,297.17,297.43,1013,69,Clouds,9,Rain,293.53
13.3356,38.132,297.25,297.52,1012,69,Rain,10,Clear,294.47
13.3356,38.132,297.65,297.93,1012,68,Rain,11,Clear,295.99
13.3356,38.132,296.93,297.14,1011,68,Clouds,12,Clouds,297.17
13.3356,38.132,297.79,297.98,1010,64,Rain,13,Rain,297.25
13.3356,38.132,297.45,297.58,1010,63,Rain,14,Rain,297.65
13.3356,38.132,296.45,296.51,1010,64,Clouds,15,Clouds,296.93
13.3356,38.132,295.8,295.74,1009,62,Clouds,16,Rain,297.79
13.3356,38.132,295.13,295.03,1009,63,Clouds,17,Rain,297.45
13.3356,38.132,294.76,294.65,1009,64,Clouds,18,Clouds,296.45
13.3356,38.132,294.3,294.19,1009,66,Clouds,19,Clouds,295.8
13.3356,38.132,293.96,293.92,1011,70,Clouds,20,Clouds,295.13
13.3356,38.132,294.15,294.16,1011,71,Rain,21,Clouds,294.76
13.3356,38.132,294.13,294.03,1011,67,Rain,22,Clouds,294.3
13.3356,38.132,294.39,294.11,1010,59,Clouds,23,Clouds,293.96
13.3356,38.132,294.12,293.73,1010,56,Clouds,0,Rain,294.15
13.3356,38.132,294.12,293.81,1006,59,Clouds,1,Rain,294.13
13.3356,38.132,293.71,293.26,1006,55,Clouds,2,Clouds,294.39
13.3356,38.132,293.07,292.5,1006,53,Clouds,3,Clouds,294.12
13.3356,38.132,293.02,292.45,1005,53,Clouds,4,Clouds,294.12
13.3356,38.132,293.01,292.46,1005,54,Clouds,5,Clouds,293.71
13.3356,38.132,292.38,291.82,1007,56,Clouds,6,Clouds,293.07
13.3356,38.132,292.98,292.48,1007,56,Rain,7,Clouds,293.02
13.3356,38.132,294.07,293.58,1004,52,Clouds,8,Clouds,293.01
13.3356,38.132,294.56,294.09,1004,51,Clouds,9,Clouds,292.38
13.3356,38.132,294.62,294.23,1004,54,Clouds,10,Rain,292.98
13.3356,38.132,293.89,293.61,1004,61,Rain,11,Clouds,294.07
13.3356,38.132,294.46,294.13,1004,57,Rain,12,Clouds,294.56
13.3356,38.132,292.75,292.59,1004,70,Rain,13,Clouds,294.62
13.3356,38.132,292.53,292.35,1004,70,Rain,14,Rain,293.89
13.3356,38.132,293.51,293.22,1004,62,Rain,15,Rain,294.46
