lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
12.3887,43.1122,285.63,285.13,1023,84,Clear,3,Clear,285.63
12.3887,43.1122,285.63,285.13,1023,84,Clear,4,Clear,285.63
12.3887,43.1122,285.63,285.13,1023,84,Clear,5,Clear,285.63
12.3887,43.1122,285.63,285.13,1023,84,Clear,6,Clear,285.63
12.3887,43.1122,288.33,287.76,1023,71,Clear,7,Clear,285.63
12.3887,43.1122,290.63,290.0,1023,60,Clear,8,Clear,285.63
12.3887,43.1122,292.65,292.01,1022,52,Clear,9,Clear,285.63
12.3887,43.1122,294.34,293.74,1022,47,Clear,10,Clear,288.33
12.3887,43.1122,295.62,295.07,1021,44,Clear,11,Clear,290.63
12.3887,43.1122,296.26,295.67,1021,40,Clear,12,Clear,292.65
12.3887,43.1122,296.7,296.1,1020,38,Clear,13,Clear,294.34
12.3887,43.1122,296.57,295.93,1019,37,Clear,14,Clear,295.62
12.3887,43.1122,296.08,295.42,1019,38,Clear,15,Clear,296.26
12.3887,43.1122,294.3,293.65,1019,45,Clear,16,Clear,296.7
12.3887,43.1122,292.66,292.26,1019,61,Clear,17,Clear,296.57
12.3887,43.1122,291.85,291.34,1019,60,Clouds,18,Clear,296.08
12.3887,43.1122,290.49,289.95,1019,64,Clouds,19,Clear,294.3
12.3887,43.1122,289.39,288.85,1020,68,Clouds,20,Clear,292.66
12.3887,43.1122,288.41,287.82,1020,70,Clouds,21,Clouds,291.85
12.3887,43.1122,287.7,287.14,1019,74,Clouds,22,Clouds,290.49
12.3887,43.1122,287.13,286.57,1020,76,Clouds,23,Clouds,289.39
12.3887,43.1122,286.5,285.95,1019,79,Clouds,0,Clouds,288.41
12.3887,43.1122,285.87,285.31,1019,81,Clear,1,Clouds,287.7
12.3887,43.1122,285.37,284.84,1019,84,Clouds,2,Clouds,287.13
12.3887,43.1122,284.64,284.14,1018,88,Clouds,3,Clouds,286.5
12.3887,43.1122,284.35,283.82,1018,88,Clouds,4,Clear,285.87
12.3887,43.1122,284.09,283.56,1018,89,Clouds,5,Clouds,285.37
12.3887,43.1122,285.37,284.92,1018,87,Clouds,6,Clouds,284.64
12.3887,43.1122,286.95,286.55,1018,83,Clouds,7,Clouds,284.35
12.3887,43.1122,289.3,288.98,1019,77,Clouds,8,Clouds,284.09
12.3887,43.1122,291.34,291.07,1019,71,Clouds,9,Clouds,285.37
12.3887,43.1122,293.64,293.36,1019,62,Clouds,10,Clouds,286.95
12.3887,43.1122,295.01,294.77,1018,58,Clouds,11,Clouds,289.3
12.3887,43.1122,295.88,295.67,1018,56,Clouds,12,Clouds,291.34
12.3887,43.1122,295.94,295.71,1018,55,Clouds,13,Clouds,293.64
12.3887,43.1122,296.15,295.86,1017,52,Clouds,14,Clouds,295.01
12.3887,43.1122,296.0,295.7,1017,52,Clouds,15,Clouds,295.88
12.3887,43.1122,294.83,294.41,1018,52,Rain,16,Clouds,295.94
12.3887,43.1122,292.77,292.25,1018,56,Clouds,17,Clouds,296.15
12.3887,43.1122,290.45,289.91,1019,64,Clear,18,Clouds,296.0
12.3887,43.1122,290.1,289.65,1018,69,Clear,19,Rain,294.83
12.3887,43.1122,289.12,288.65,1019,72,Clear,20,Clouds,292.77
12.3887,43.1122,288.34,287.9,1019,76,Clear,21,Clear,290.45
12.3887,43.1122,287.94,287.51,1019,78,Clear,22,Clear,290.1
12.3887,43.1122,287.53,287.06,1019,78,Clouds,23,Clear,289.12
12.3887,43.1122,287.03,286.61,1019,82,Clear,0,Clear,288.34
12.3887,43.1122,286.38,286.0,1019,86,Clear,1,Clear,287.94
12.3887,43.1122,286.08,285.7,1018,87,Clear,2,Clouds,287.53
12.3887,43.1122,285.23,284.84,1018,90,Clear,3,Clear,287.03
12.3887,43.1122,285.18,284.76,1018,89,Clear,4,Clear,286.38
12.3887,43.1122,284.53,284.07,1018,90,Clear,5,Clear,286.08
12.3887,43.1122,285.21,284.87,1018,92,Clear,6,Clear,285.23
12.3887,43.1122,287.33,287.1,1018,88,Clear,7,Clear,285.18
12.3887,43.1122,289.88,289.67,1019,79,Clear,8,Clear,284.53
12.3887,43.1122,292.45,292.26,1019,70,Clear,9,Clear,285.21
12.3887,43.1122,294.53,294.24,1019,58,Clear,10,Clear,287.33
12.3887,43.1122,296.12,295.83,1018,52,Clouds,11,Clear,289.88
12.3887,43.1122,296.87,296.55,1017,48,Clouds,12,Clear,292.45
12.3887,43.1122,297.33,297.06,1017,48,Clouds,13,Clear,294.53
12.3887,43.1122,297.26,296.98,1017,48,Clouds,14,Clouds,296.12
12.3887,43.1122,296.82,296.5,1017,48,Clouds,15,Clouds,296.87
12.3887,43.1122,295.67,295.36,1017,53,Clouds,16,Clouds,297.33
12.3887,43.1122,294.13,293.8,1017,58,Clouds,17,Clouds,297.26
12.3887,43.1122,293.05,292.58,1018,57,Clouds,18,Clouds,296.82
12.3887,43.1122,292.09,291.71,1018,64,Clouds,19,Clouds,295.67
12.3887,43.1122,290.72,290.26,1020,66,Clouds,20,Clouds,294.13
