lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
12.5113,41.8919,292.34,292.06,1021,67,Clear,3,Clear,292.34
12.5113,41.8919,292.34,292.06,1021,67,Clear,4,Clear,292.34
12.5113,41.8919,292.34,292.06,1021,67,Clear,5,Clear,292.34
12.5113,41.8919,292.34,292.06,1021,67,Clear,6,Clear,292.34
12.5113,41.8919,294.4,294.09,1021,58,Clear,7,Clear,292.34
12.5113,41.8919,296.6,296.33,1021,51,Clear,8,Clear,292.34
12.5113,41.8919,298.44,298.2,1021,45,Clear,9,Clear,292.34
12.5113,41.8919,300.04,299.98,1020,41,Clear,10,Clear,294.4
12.5113,41.8919,301.17,300.7,1020,38,Clear,11,Clear,296.6
12.5113,41.8919,301.44,300.86,1019,37,Clear,12,Clear,298.44
12.5113,41.8919,301.44,300.86,1019,37,Clear,13,Clear,300.04
12.5113,41.8919,300.51,300.34,1019,41,Clear,14,Clear,301.17
12.5113,41.8919,298.87,298.72,1019,47,Clouds,15,Clear,301.44
12.5113,41.8919,298.05,297.88,1019,49,Clouds,16,Clear,301.44
12.5113,41.8919,296.49,296.63,1019,67,Clouds,17,Clear,300.51
12.5113,41.8919,295.94,296.0,1018,66,Clear,18,Clouds,298.87
12.5113,41.8919,295.32,295.39,1019,69,Clear,19,Clouds,298.05
12.5113,41.8919,294.08,294.21,1020,76,Clear,20,Clouds,296.49
12.5113,41.8919,293.53,293.61,1020,76,Clear,21,Clear,295.94
12.5113,41.8919,293.08,293.06,1018,74,Clear,22,Clear,295.32
12.5113,41.8919,292.8,292.75,1018,74,Clear,23,Clear,294.08
12.5113,41.8919,292.32,292.12,1018,70,Clear,0,Clear,293.53
12.5113,41.8919,292.18,291.97,1018,70,Clear,1,Clear,293.08
12.5113,41.8919,291.62,291.4,1017,72,Clear,2,Clear,292.8
12.5113,41.8919,291.46,291.33,1016,76,Clear,3,Clear,292.32
12.5113,41.8919,290.86,290.64,1016,75,Clear,4,Clear,292.18
12.5113,41.8919,290.62,290.38,1016,75,Clear,5,Clear,291.62
12.5113,41.8919,291.45,291.29,1017,75,Clear,6,Clear,291.46
12.5113,41.8919,292.36,292.35,1017,77,Clear,7,Clear,290.86
12.5113,41.8919,293.43,293.29,1017,68,Clear,8,Clear,290.62
12.5113,41.8919,294.84,294.84,1019,68,Clear,9,Clear,291.45
12.5113,41.8919,295.71,295.59,1019,60,Clouds,10,Clear,292.36
12.5113,41.8919,296.28,296.14,1019,57,Clear,11,Clear,293.43
12.5113,41.8919,297.13,297.05,1017,56,Clear,12,Clear,294.84
12.5113,41.8919,297.59,297.47,1017,53,Clouds,13,Clouds,295.71
12.5113,41.8919,297.91,297.72,1016,49,Clear,14,Clear,296.28
12.5113,41.8919,297.85,297.6,1016,47,Clear,15,Clear,297.13
12.5113,41.8919,296.97,296.79,1017,53,Clear,16,Clouds,297.59
12.5113,41.8919,296.06,295.84,1017,55,Clear,17,Clear,297.91
12.5113,41.8919,294.96,294.74,1017,59,Clouds,18,Clear,297.85
12.5113,41.8919,294.16,293.91,1017,61,Clear,19,Clear,296.97
12.5113,41.8919,293.34,293.01,1018,61,Clear,20,Clear,296.06
12.5113,41.8919,292.44,292.23,1018,69,Clouds,21,Clouds,294.96
12.5113,41.8919,292.12,291.8,1017,66,Clear,22,Clear,294.16
12.5113,41.8919,291.79,291.43,1017,66,Clear,23,Clear,293.34
12.5113,41.8919,291.14,290.8,1017,69,Clear,0,Clouds,292.44
12.5113,41.8919,291.15,290.81,1017,69,Clouds,1,Clear,292.12
12.5113,41.8919,291.25,291.0,1017,72,Clouds,2,Clear,291.79
12.5113,41.8919,290.67,290.28,1017,69,Clouds,3,Clear,291.14
12.5113,41.8919,290.62,290.2,1016,68,Clear,4,Clouds,291.15
12.5113,41.8919,290.43,290.12,1016,73,Clouds,5,Clouds,291.25
12.5113,41.8919,290.71,290.3,1016,68,Clouds,6,Clouds,290.67
12.5113,41.8919,292.71,292.34,1017,62,Clear,7,Clear,290.62
12.5113,41.8919,295.55,295.39,1018,59,Clouds,8,Clouds,290.43
12.5113,41.8919,296.43,296.35,1018,59,Clouds,9,Clouds,290.71
12.5113,41.8919,296.73,296.66,1018,58,Clouds,10,Clear,292.71
12.5113,41.8919,298.23,298.23,1017,55,Clouds,11,Clouds,295.55
12.5113,41.8919,299.09,299.05,1017,50,Clouds,12,Clouds,296.43
12.5113,41.8919,299.0,299.0,1016,52,Clouds,13,Clouds,296.73
12.5113,41.8919,298.16,298.18,1016,56,Clouds,14,Clouds,298.23
12.5113,41.8919,298.11,298.1,1016,55,Clouds,15,Clouds,299.09
12.5113,41.8919,297.71,297.66,1017,55,Clouds,16,Clouds,299.0
12.5113,41.8919,296.35,296.32,1017,61,Clouds,17,Clouds,298.16
12.5113,41.8919,295.11,295.16,1017,69,Clear,18,Clouds,298.11
12.5113,41.8919,294.66,294.72,1017,71,Clear,19,Clouds,297.71
12.5113,41.8919,294.47,294.54,1018,72,Clear,20,Clouds,296.35
12.5113,41.8919,293.78,293.83,1018,74,Clear,21,Clear,295.11
12.5113,41.8919,293.36,293.45,1018,77,Clear,22,Clear,294.66
12.5113,41.8919,292.9,292.97,1018,78,Clear,23,Clear,294.47
12.5113,41.8919,292.7,292.67,1018,75,Clear,0,Clear,293.78
12.5113,41.8919,292.75,292.7,1018,74,Clear,1,Clear,293.36
12.5113,41.8919,292.29,292.22,1018,75,Clear,2,Clear,292.9
12.5113,41.8919,292.18,292.12,1018,76,Clear,3,Clear,292.7
12.5113,41.8919,291.95,291.87,1018,76,Clear,4,Clear,292.75
12.5113,41.8919,292.06,291.96,1017,75,Clear,5,Clear,292.29
12.5113,41.8919,292.19,292.13,1018,76,Clear,6,Clear,292.18
12.5113,41.8919,293.68,293.67,1018,72,Clear,7,Clear,291.95
12.5113,41.8919,296.24,296.2,1018,61,Clear,8,Clear,292.06
12.5113,41.8919,298.33,298.31,1018,54,Clouds,9,Clear,292.19
12.5113,41.8919,299.32,299.32,1018,52,Clouds,10,Clear,293.68
12.5113,41.8919,300.32,300.86,1018,52,Clouds,11,Clear,296.24
12.5113,41.8919,300.46,300.94,1017,51,Clouds,12,Clouds,298.33
12.5113,41.8919,300.34,300.82,1017,51,Clouds,13,Clouds,299.32
12.5113,41.8919,299.84,300.5,1017,54,Clouds,14,Clouds,300.32
12.5113,41.8919,299.07,299.23,1016,58,Clouds,15,Clouds,300.46
12.5113,41.8919,297.96,298.12,1016,62,Clouds,16,Clouds,300.34
12.5113,41.8919,297.17,297.27,1016,63,Clouds,17,Clouds,299.84
12.5113,41.8919,296.41,296.54,1016,67,Clouds,18,Clouds,299.07
