lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
7.6868,45.0704,288.66,288.36,1024,80,Rain,3,Rain,288.66
7.6868,45.0704,288.66,288.36,1024,80,Rain,4,Rain,288.66
7.6868,45.0704,288.66,288.36,1024,80,Rain,5,Rain,288.66
7.6868,45.0704,288.66,288.36,1024,80,Rain,6,Rain,288.66
7.6868,45.0704,289.03,288.66,1025,76,Clouds,7,Rain,288.66
7.6868,45.0704,289.3,288.88,1025,73,Clouds,8,Rain,288.66
7.6868,45.0704,289.53,289.05,1025,70,Clouds,9,Rain,288.66
7.6868,45.0704,290.06,289.56,1025,67,Clouds,10,Clouds,289.03
7.6868,45.0704,290.45,289.93,1024,65,Clouds,11,Clouds,289.3
7.6868,45.0704,291.67,291.12,1023,59,Clouds,12,Clouds,289.53
7.6868,45.0704,292.71,292.16,1022,55,Clouds,13,Clouds,290.06
7.6868,45.0704,293.25,292.73,1022,54,Clouds,14,Clouds,290.45
7.6868,45.0704,293.14,292.6,1021,54,Clouds,15,Clouds,291.67
7.6868,45.0704,292.59,292.08,1021,57,Clouds,16,Clouds,292.71
7.6868,45.0704,289.61,289.24,1021,74,Clouds,17,Clouds,293.25
7.6868,45.0704,291.15,290.86,1020,71,Clouds,18,Clouds,293.14
7.6868,45.0704,291.23,290.97,1019,72,Clouds,19,Clouds,292.59
7.6868,45.0704,290.84,290.57,1019,73,Clouds,20,Clouds,289.61
7.6868,45.0704,290.88,290.61,1019,73,Clouds,21,Clouds,291.15
7.6868,45.0704,290.94,290.68,1019,73,Clouds,22,Clouds,291.23
7.6868,45.0704,290.71,290.43,1019,73,Clouds,23,Clouds,290.84
7.6868,45.0704,290.61,290.37,1019,75,Clouds,0,Clouds,290.88
7.6868,45.0704,290.52,290.24,1019,74,Clouds,1,Clouds,290.94
7.6868,45.0704,290.27,289.97,1018,74,Clouds,2,Clouds,290.71
7.6868,45.0704,289.6,289.31,1019,77,Clouds,3,Clouds,290.61
7.6868,45.0704,289.94,289.63,1018,75,Clouds,4,Clouds,290.52
7.6868,45.0704,289.68,289.4,1018,77,Clouds,5,Clouds,290.27
7.6868,45.0704,289.5,289.25,1018,79,Clouds,6,Clouds,289.6
7.6868,45.0704,289.98,289.76,1019,78,Clouds,7,Clouds,289.94
7.6868,45.0704,290.33,290.11,1019,77,Clouds,8,Clouds,289.68
7.6868,45.0704,291.69,291.43,1019,70,Clouds,9,Clouds,289.5
7.6868,45.0704,292.42,292.15,1019,67,Clouds,10,Clouds,289.98
7.6868,45.0704,293.6,293.32,1018,62,Clouds,11,Clouds,290.33
7.6868,45.0704,294.42,294.14,1018,59,Clouds,12,Clouds,291.69
7.6868,45.0704,294.83,294.54,1017,57,Clouds,13,Clouds,292.42
7.6868,45.0704,294.88,294.6,1017,57,Clouds,14,Clouds,293.6
7.6868,45.0704,294.35,294.09,1017,60,Clouds,15,Clouds,294.42
7.6868,45.0704,293.73,293.46,1017,62,Clouds,16,Clouds,294.83
7.6868,45.0704,293.09,292.78,1017,63,Clouds,17,Clouds,294.88
7.6868,45.0704,291.99,291.73,1018,69,Clouds,18,Clouds,294.35
7.6868,45.0704,291.91,291.64,1017,69,Rain,19,Clouds,293.73
7.6868,45.0704,291.54,291.29,1017,71,Rain,20,Clouds,293.09
7.6868,45.0704,291.2,290.97,1017,73,Rain,21,Clouds,291.99
7.6868,45.0704,291.22,291.01,1017,74,Rain,22,Rain,291.91
7.6868,45.0704,291.11,290.89,1016,74,Clouds,23,Rain,291.54
7.6868,45.0704,290.83,290.61,1016,75,Clouds,0,Rain,291.2
7.6868,45.0704,290.46,290.28,1017,78,Clouds,1,Rain,291.22
7.6868,45.0704,289.79,289.62,1017,81,Clear,2,Clouds,291.11
7.6868,45.0704,289.28,289.12,1016,83,Clear,3,Clouds,290.83
7.6868,45.0704,289.12,288.97,1016,84,Clouds,4,Clouds,290.46
7.6868,45.0704,288.84,288.66,1016,84,Clear,5,Clear,289.79
7.6868,45.0704,288.59,288.44,1016,86,Fog,6,Clear,289.28
7.6868,45.0704,289.19,289.02,1016,83,Fog,7,Clouds,289.12
7.6868,45.0704,289.39,289.26,1016,84,Fog,8,Clear,288.84
7.6868,45.0704,289.68,289.58,1017,84,Fog,9,Fog,288.59
7.6868,45.0704,289.86,289.78,1017,84,Fog,10,Fog,289.19
7.6868,45.0704,290.5,290.46,1017,83,Fog,11,Fog,289.39
7.6868,45.0704,290.54,290.53,1016,84,Fog,12,Fog,289.68
7.6868,45.0704,290.93,290.88,1016,81,Fog,13,Fog,289.86
7.6868,45.0704,290.96,290.89,1016,80,Fog,14,Fog,290.5
7.6868,45.0704,290.67,290.59,1016,81,Fog,15,Fog,290.54
7.6868,45.0704,290.24,290.25,1016,86,Rain,16,Fog,290.93
7.6868,45.0704,290.24,290.25,1016,86,Fog,16,Fog,290.96
7.6868,45.0704,289.69,289.8,1016,92,Rain,17,Fog,290.67
7.6868,45.0704,289.69,289.8,1016,92,Fog,17,Rain,290.24
7.6868,45.0704,289.56,289.66,1016,92,Rain,18,Fog,290.24
7.6868,45.0704,289.56,289.66,1016,92,Rain,18,Rain,289.69
7.6868,45.0704,289.27,289.37,1016,93,Rain,19,Fog,289.69
7.6868,45.0704,289.27,289.37,1016,93,Fog,19,Rain,289.56
7.6868,45.0704,289.27,289.37,1016,93,Rain,19,Rain,289.56
7.6868,45.0704,289.1,289.21,1017,94,Fog,20,Rain,289.27
7.6868,45.0704,289.1,289.21,1017,94,Rain,20,Fog,289.27
7.6868,45.0704,289.1,289.21,1017,94,Rain,20,Rain,289.27
7.6868,45.0704,289.1,289.15,1017,92,Fog,21,Fog,289.1
7.6868,45.0704,289.01,289.05,1017,92,Fog,22,Rain,289.1
7.6868,45.0704,289.04,289.09,1017,92,Fog,23,Rain,289.1
7.6868,45.0704,288.99,289.03,1017,92,Fog,0,Fog,289.1
7.6868,45.0704,288.86,288.91,1017,93,Fog,1,Fog,289.01
7.6868,45.0704,288.83,288.88,1016,93,Fog,2,Fog,289.04
7.6868,45.0704,288.93,288.99,1016,93,Fog,3,Fog,288.99
7.6868,45.0704,288.96,289.02,1016,93,Fog,4,Fog,288.86
7.6868,45.0704,289.14,289.22,1015,93,Fog,5,Fog,288.83
7.6868,45.0704,289.24,289.31,1016,92,Fog,6,Fog,288.93
7.6868,45.0704,289.59,289.67,1016,91,Fog,7,Fog,288.96
7.6868,45.0704,289.99,290.05,1016,89,Clouds,8,Fog,289.14
7.6868,45.0704,290.32,290.42,1016,89,Clouds,9,Fog,289.24
7.6868,45.0704,290.59,290.71,1017,89,Fog,10,Fog,289.59
7.6868,45.0704,290.97,291.08,1016,87,Fog,11,Clouds,289.99
7.6868,45.0704,291.39,291.46,1016,84,Fog,12,Clouds,290.32
7.6868,45.0704,291.74,291.8,1015,82,Fog,13,Fog,290.59
7.6868,45.0704,291.29,291.35,1015,84,Fog,14,Fog,290.97
7.6868,45.0704,290.64,290.74,1014,88,Rain,15,Fog,291.39
7.6868,45.0704,290.64,290.74,1014,88,Fog,15,Fog,291.74
7.6868,45.0704,290.41,290.57,1014,91,Rain,16,Fog,291.29
7.6868,45.0704,290.41,290.57,1014,91,Fog,16,Rain,290.64
7.6868,45.0704,290.41,290.59,1013,92,Rain,17,Fog,290.64
7.6868,45.0704,290.41,290.59,1013,92,Fog,17,Rain,290.41
7.6868,45.0704,290.27,290.47,1012,93,Rain,18,Fog,290.41
7.6868,45.0704,290.27,290.47,1012,93,Fog,18,Rain,290.41
7.6868,45.0704,289.84,290.05,1012,95,Rain,19,Fog,290.41
7.6868,45.0704,289.84,290.05,1012,95,Fog,19,Rain,290.27
7.6868,45.0704,289.99,290.21,1011,95,Rain,20,Fog,290.27
7.6868,45.0704,289.99,290.21,1011,95,Fog,20,Rain,289.84
7.6868,45.0704,289.46,289.6,1011,94,Rain,21,Fog,289.84
7.6868,45.0704,289.46,289.6,1011,94,Fog,21,Rain,289.99
7.6868,45.0704,289.52,289.69,1011,95,Rain,22,Fog,289.99
7.6868,45.0704,289.52,289.69,1011,95,Fog,22,Rain,289.46
7.6868,45.0704,289.52,289.69,1011,95,Rain,23,Fog,289.46
7.6868,45.0704,289.52,289.69,1011,95,Fog,23,Rain,289.52
7.6868,45.0704,289.54,289.72,1010,95,Fog,0,Fog,289.52
7.6868,45.0704,289.33,289.48,1010,95,Fog,1,Rain,289.52
7.6868,45.0704,289.18,289.29,1010,94,Fog,2,Fog,289.52
7.6868,45.0704,288.93,289.02,1009,94,Fog,3,Fog,289.54
7.6868,45.0704,288.93,289.02,1009,94,Rain,3,Fog,289.33
7.6868,45.0704,288.89,288.95,1009,93,Fog,4,Fog,289.18
7.6868,45.0704,288.89,288.95,1009,93,Rain,4,Fog,288.93
7.6868,45.0704,288.66,288.69,1010,93,Rain,5,Rain,288.93
7.6868,45.0704,288.66,288.69,1010,93,Fog,5,Fog,288.89
7.6868,45.0704,288.19,288.18,1010,93,Rain,6,Rain,288.89
7.6868,45.0704,288.19,288.18,1010,93,Fog,6,Rain,288.66
7.6868,45.0704,288.08,288.11,1010,95,Fog,7,Fog,288.66
7.6868,45.0704,288.08,288.11,1010,95,Rain,7,Rain,288.19
7.6868,45.0704,288.32,288.35,1011,94,Rain,8,Fog,288.19
7.6868,45.0704,288.32,288.35,1011,94,Fog,8,Fog,288.08
7.6868,45.0704,288.56,288.61,1012,94,Rain,9,Rain,288.08
7.6868,45.0704,288.56,288.61,1012,94,Fog,9,Rain,288.32
7.6868,45.0704,289.02,289.09,1012,93,Rain,10,Fog,288.32
7.6868,45.0704,289.02,289.09,1012,93,Fog,10,Rain,288.56
7.6868,45.0704,289.86,289.91,1012,89,Rain,11,Fog,288.56
7.6868,45.0704,289.86,289.91,1012,89,Fog,11,Rain,289.02
7.6868,45.0704,290.38,290.35,1011,84,Clouds,12,Fog,289.02
7.6868,45.0704,291.15,291.07,1011,79,Rain,13,Rain,289.86
7.6868,45.0704,291.03,290.94,1011,79,Clouds,14,Fog,289.86
7.6868,45.0704,290.35,290.32,1012,84,Clouds,15,Clouds,290.38
7.6868,45.0704,289.83,289.77,1012,85,Clouds,16,Rain,291.15
7.6868,45.0704,289.42,289.35,1011,86,Clouds,17,Clouds,291.03
7.6868,45.0704,288.52,288.44,1012,89,Fog,18,Clouds,290.35
7.6868,45.0704,288.24,288.13,1012,89,Clouds,19,Clouds,289.83
7.6868,45.0704,287.78,287.67,1013,91,Clear,20,Clouds,289.42
7.6868,45.0704,287.51,287.38,1013,91,Clear,21,Fog,288.52
7.6868,45.0704,287.29,287.16,1013,92,Clear,22,Clouds,288.24
7.6868,45.0704,287.12,286.97,1013,92,Clear,23,Clear,287.78
7.6868,45.0704,287.18,287.04,1013,92,Clear,0,Clear,287.51
7.6868,45.0704,286.86,286.71,1013,93,Rain,1,Clear,287.29
7.6868,45.0704,286.87,286.73,1012,93,Fog,2,Clear,287.12
7.6868,45.0704,286.6,286.4,1012,92,Fog,3,Clear,287.18
7.6868,45.0704,286.2,285.96,1012,92,Fog,4,Rain,286.86
7.6868,45.0704,286.03,285.78,1012,92,Fog,5,Fog,286.87
7.6868,45.0704,285.89,285.54,1012,89,Clear,6,Fog,286.6
7.6868,45.0704,286.37,286.02,1012,87,Clear,7,Fog,286.2
7.6868,45.0704,288.46,288.14,1012,80,Clear,8,Fog,286.03
