lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
11.121,46.0678,288.14,287.81,1025,81,Clouds,3,Clouds,288.14
11.121,46.0678,288.14,287.81,1025,81,Clouds,4,Clouds,288.14
11.121,46.0678,288.14,287.81,1025,81,Clouds,5,Clouds,288.14
11.121,46.0678,288.14,287.81,1025,81,Clouds,6,Clouds,288.14
11.121,46.0678,289.24,288.92,1025,77,Clouds,7,Clouds,288.14
11.121,46.0678,290.79,290.46,1025,71,Clouds,8,Clouds,288.14
11.121,46.0678,292.31,291.98,1024,65,Clouds,9,Clouds,288.14
11.121,46.0678,293.87,293.49,1024,57,Clouds,10,Clouds,289.24
11.121,46.0678,294.9,294.51,1023,53,Clouds,11,Clouds,290.79
11.121,46.0678,295.39,294.98,1022,50,Clouds,12,Clouds,292.31
11.121,46.0678,295.52,295.12,1021,50,Clouds,13,Clouds,293.87
11.121,46.0678,295.26,294.86,1021,51,Clouds,14,Clouds,294.9
11.121,46.0678,294.49,294.12,1020,55,Clouds,15,Clouds,295.39
11.121,46.0678,292.41,292.19,1021,69,Clouds,16,Clouds,295.52
11.121,46.0678,290.09,289.59,1022,67,Clouds,17,Clouds,295.26
11.121,46.0678,290.44,290.0,1022,68,Clear,18,Clouds,294.49
11.121,46.0678,289.38,288.91,1022,71,Clear,19,Clouds,292.41
11.121,46.0678,288.33,288.18,1025,87,Fog,20,Clouds,290.09
11.121,46.0678,287.77,287.61,1024,89,Fog,21,Clear,290.44
11.121,46.0678,287.7,287.22,1021,77,Clouds,22,Clear,289.38
11.121,46.0678,287.36,286.9,1021,79,Clouds,23,Fog,288.33
11.121,46.0678,286.68,286.23,1021,82,Clouds,0,Fog,287.77
11.121,46.0678,287.28,286.97,1022,85,Clear,1,Clouds,287.7
11.121,46.0678,287.24,286.92,1022,85,Clouds,2,Clouds,287.36
11.121,46.0678,286.29,285.8,1020,82,Clouds,3,Clouds,286.68
11.121,46.0678,286.17,285.88,1021,90,Clouds,4,Clear,287.28
11.121,46.0678,286.07,285.69,1021,87,Clear,5,Clouds,287.24
11.121,46.0678,286.24,285.9,1021,88,Clear,6,Clouds,286.29
11.121,46.0678,288.61,288.4,1021,84,Clear,7,Clouds,286.17
11.121,46.0678,289.48,289.34,1021,83,Clouds,8,Clear,286.07
11.121,46.0678,291.05,290.93,1021,78,Fog,9,Clear,286.24
11.121,46.0678,292.66,292.57,1020,73,Clouds,10,Clear,288.61
11.121,46.0678,294.22,294.16,1020,68,Clouds,11,Clouds,289.48
11.121,46.0678,295.34,295.18,1018,60,Clouds,12,Fog,291.05
11.121,46.0678,294.97,294.93,1020,66,Clouds,13,Clouds,292.66
11.121,46.0678,294.95,294.62,1017,55,Clouds,14,Clouds,294.22
11.121,46.0678,294.33,293.97,1017,56,Clouds,15,Clouds,295.34
11.121,46.0678,293.32,292.93,1017,59,Clouds,16,Clouds,294.97
11.121,46.0678,290.97,291.03,1022,85,Clouds,17,Clouds,294.95
11.121,46.0678,289.97,289.95,1022,86,Fog,18,Clouds,294.33
11.121,46.0678,289.45,289.75,1022,100,Fog,19,Clouds,293.32
11.121,46.0678,289.26,289.07,1022,82,Clear,20,Clouds,290.97
11.121,46.0678,288.91,288.76,1022,85,Clear,21,Fog,289.97
11.121,46.0678,288.52,288.36,1021,86,Clouds,22,Fog,289.45
11.121,46.0678,288.8,288.69,1021,87,Fog,23,Clear,289.26
11.121,46.0678,288.43,288.39,1022,91,Fog,0,Clear,288.91
11.121,46.0678,288.69,288.55,1020,86,Fog,1,Clouds,288.52
11.121,46.0678,288.35,288.35,1021,93,Fog,2,Fog,288.8
11.121,46.0678,288.28,288.28,1021,93,Fog,3,Fog,288.43
11.121,46.0678,288.25,288.24,1021,93,Fog,4,Fog,288.69
