lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
13.7903,45.6432,284.93,284.07,1025,73,Clouds,3,Clouds,284.93
13.7903,45.6432,284.93,284.07,1025,73,Clouds,4,Clouds,284.93
13.7903,45.6432,284.93,284.07,1025,73,Clouds,5,Clouds,284.93
13.7903,45.6432,284.93,284.07,1025,73,Clouds,6,Clouds,284.93
13.7903,45.6432,287.65,286.75,1025,61,Clouds,7,Clouds,284.93
13.7903,45.6432,290.09,289.12,1024,49,Clouds,8,Clouds,284.93
13.7903,45.6432,291.97,291.0,1024,42,Clouds,9,Clouds,284.93
13.7903,45.6432,293.37,292.47,1024,39,Clouds,10,Clouds,287.65
13.7903,45.6432,294.35,293.49,1023,37,Clouds,11,Clouds,290.09
13.7903,45.6432,294.92,294.09,1023,36,Clear,12,Clouds,291.97
13.7903,45.6432,295.2,294.43,1022,37,Clouds,13,Clouds,293.37
13.7903,45.6432,295.03,294.29,1021,39,Clouds,14,Clouds,294.35
13.7903,45.6432,294.18,293.49,1021,44,Clouds,15,Clear,294.92
13.7903,45.6432,291.64,291.01,1021,56,Clouds,16,Clouds,295.2
13.7903,45.6432,289.24,287.43,1017,20,Clear,17,Clouds,295.03
13.7903,45.6432,288.96,287.67,1018,41,Clear,18,Clouds,294.18
13.7903,45.6432,287.76,285.8,1017,20,Clear,19,Clouds,291.64
13.7903,45.6432,287.08,285.1,1017,22,Clear,20,Clear,289.24
13.7903,45.6432,286.27,284.19,1017,21,Clear,21,Clear,288.96
13.7903,45.6432,285.15,284.52,1022,81,Clear,22,Clear,287.76
13.7903,45.6432,284.52,283.85,1022,82,Clear,23,Clear,287.08
13.7903,45.6432,284.31,283.67,1021,84,Clear,0,Clear,286.27
13.7903,45.6432,284.62,282.55,1016,28,Clear,1,Clear,285.15
13.7903,45.6432,284.17,282.16,1015,32,Clear,2,Clear,284.52
13.7903,45.6432,283.83,281.84,1015,34,Clear,3,Clear,284.31
13.7903,45.6432,283.85,281.89,1015,35,Clouds,4,Clear,284.62
13.7903,45.6432,283.66,281.71,1014,36,Clouds,5,Clear,284.17
13.7903,45.6432,285.43,284.59,1019,72,Clear,6,Clear,283.83
13.7903,45.6432,287.63,286.88,1019,67,Clear,7,Clouds,283.85
13.7903,45.6432,290.56,289.9,1019,59,Clear,8,Clouds,283.66
13.7903,45.6432,292.29,291.83,1019,60,Clear,9,Clear,285.43
13.7903,45.6432,293.39,292.93,1019,56,Clear,10,Clear,287.63
13.7903,45.6432,293.97,293.67,1020,60,Clear,11,Clear,290.56
13.7903,45.6432,294.94,294.09,1017,35,Clear,12,Clear,292.29
13.7903,45.6432,295.19,294.34,1017,34,Clear,13,Clear,293.39
