lon,lat,temp,tempfelt,pressure,humidity,weather,hour,weather_forecast,temp_forecast
12.3326,45.4371,288.22,287.51,1024,66,Clear,3,Clear,288.22
12.3326,45.4371,288.22,287.51,1024,66,Clear,4,Clear,288.22
12.3326,45.4371,288.22,287.51,1024,66,Clear,5,Clear,288.22
12.3326,45.4371,288.22,287.51,1024,66,Clear,6,Clear,288.22
12.3326,45.4371,289.45,288.7,1024,60,Clouds,7,Clear,288.22
12.3326,45.4371,290.83,290.06,1024,54,Clouds,8,Clear,288.22
12.3326,45.4371,292.12,291.35,1024,49,Clouds,9,Clear,288.22
12.3326,45.4371,293.06,292.26,1024,44,Clouds,10,Clouds,289.45
12.3326,45.4371,293.75,292.96,1023,42,Clouds,11,Clouds,290.83
12.3326,45.4371,293.91,293.11,1023,41,Clear,12,Clouds,292.12
12.3326,45.4371,293.89,293.12,1022,42,Clear,13,Clouds,293.06
12.3326,45.4371,293.52,292.76,1022,44,Clear,14,Clouds,293.75
12.3326,45.4371,292.95,292.19,1021,46,Clear,15,Clear,293.91
12.3326,45.4371,292.42,291.68,1021,49,Clear,16,Clear,293.89
12.3326,45.4371,291.78,291.37,1021,64,Clear,17,Clear,293.52
12.3326,45.4371,290.85,290.43,1021,67,Clear,18,Clear,292.95
12.3326,45.4371,289.86,289.47,1021,72,Clear,19,Clear,292.42
12.3326,45.4371,288.71,288.41,1021,80,Clear,20,Clear,291.78
12.3326,45.4371,288.16,287.96,1021,86,Clear,21,Clear,290.85
12.3326,45.4371,287.41,287.06,1021,83,Clear,22,Clear,289.86
12.3326,45.4371,287.05,286.61,1021,81,Clear,23,Clear,288.71
12.3326,45.4371,286.71,286.26,1020,82,Clear,0,Clear,288.16
12.3326,45.4371,286.35,285.92,1020,84,Clear,1,Clear,287.41
12.3326,45.4371,285.88,285.48,1020,87,Clear,2,Clear,287.05
12.3326,45.4371,285.83,285.4,1020,86,Clouds,3,Clear,286.71
12.3326,45.4371,285.75,285.26,1019,84,Clouds,4,Clear,286.35
12.3326,45.4371,285.73,285.24,1019,84,Clouds,5,Clear,285.88
12.3326,45.4371,285.91,285.43,1019,84,Clear,6,Clouds,285.83
12.3326,45.4371,287.77,287.32,1020,78,Clear,7,Clouds,285.75
12.3326,45.4371,289.7,289.21,1020,69,Clear,8,Clouds,285.73
12.3326,45.4371,291.35,290.84,1020,62,Clear,9,Clear,285.91
12.3326,45.4371,293.06,292.62,1020,58,Clear,10,Clear,287.77
12.3326,45.4371,294.08,293.72,1020,57,Clouds,11,Clear,289.7
12.3326,45.4371,295.27,295.03,1020,57,Clouds,12,Clear,291.35
12.3326,45.4371,295.14,295.01,1019,62,Clouds,13,Clear,293.06
12.3326,45.4371,295.34,295.29,1019,64,Clouds,14,Clouds,294.08
12.3326,45.4371,294.96,294.92,1018,66,Clouds,15,Clouds,295.27
12.3326,45.4371,294.03,293.98,1018,69,Clear,16,Clouds,295.14
12.3326,45.4371,292.55,292.56,1019,77,Clear,17,Clouds,295.34
12.3326,45.4371,291.53,291.49,1019,79,Clear,18,Clouds,294.96
12.3326,45.4371,290.6,290.52,1019,81,Clear,19,Clear,294.03
12.3326,45.4371,289.91,289.86,1019,85,Clear,20,Clear,292.55
12.3326,45.4371,289.73,289.77,1019,89,Clouds,21,Clear,291.53
12.3326,45.4371,289.61,289.66,1019,90,Clear,22,Clear,290.6
12.3326,45.4371,289.13,289.13,1019,90,Clear,23,Clear,289.91
12.3326,45.4371,288.84,288.81,1019,90,Clear,0,Clouds,289.73
12.3326,45.4371,288.77,288.74,1019,90,Clear,1,Clear,289.61
12.3326,45.4371,288.14,288.15,1018,94,Clear,2,Clear,289.13
12.3326,45.4371,288.04,288.04,1018,94,Clear,3,Clear,288.84
12.3326,45.4371,288.14,288.07,1018,91,Clouds,4,Clear,288.77
12.3326,45.4371,288.59,288.46,1018,87,Clouds,5,Clear,288.14
12.3326,45.4371,288.87,288.85,1018,90,Clouds,6,Clear,288.04
12.3326,45.4371,290.22,290.12,1018,82,Clouds,7,Clouds,288.14
12.3326,45.4371,291.49,291.47,1019,80,Clouds,8,Clouds,288.59
12.3326,45.4371,293.86,293.79,1018,69,Clear,9,Clouds,288.87
12.3326,45.4371,295.01,295.03,1019,68,Clouds,10,Clouds,290.22
12.3326,45.4371,296.13,296.15,1018,64,Clouds,11,Clouds,291.49
12.3326,45.4371,296.57,296.66,1018,65,Clouds,12,Clear,293.86
12.3326,45.4371,297.01,297.1,1018,63,Clouds,13,Clouds,295.01
